"Group","Member","Start Year","End Year"
"1021","5","1900","9999"
"1021","47","1900","9999"
"1021","70","1900","9999"
"1021","160","1900","9999"
"1021","172","1900","9999"
"1021","244","1900","9999"
"1021","218","1900","9999"
"1021","219","1900","9999"
"1021","227","1900","9999"
"1021","243","1900","9999"
"1000","290","1900","9999"
"1003","298","1900","9999"
"1000","276","1900","9999"
"1000","71","1900","9999"
"1012","31","1900","9999"
"1020","232","1900","9999"
