"Identifier","Name_En","Name_Es","Name_Fr"
"1101","Sub-Saharan Africa","África Subsahariana","Afrique Subsaharienne"
"1102","Northern Africa and Western Asia","África septentrional y Asia occidental","Afrique septentrionale et Asie occidentale"
"1103","Central and Southern Asia","Asia central y meridional","Asie centrale et méridionale"
"1104","Eastern and South-Easterrn Asia","Asia oriental y sudoriental","Asie orientale et sud-orientale"
"1105","Latin America and the Caribbean","América Latina y el Caribe","Amérique latine et les Caraïbes"
"1106","Oceania","Oceanía","Océanie"
"1107","Europe and Northern America","Europa y América del Norte","Europe et Amérique du Nord"
