"Identifier","Name_Ar","Name_Cn","Name_En","Name_Es","Name_Fr","Name_Ru","Short_Name_Ar","Short_Name_Cn","Short_Name_En","Short_Name_Es","Short_Name_Fr","Short_Name_Ru"
"500","هيئة مصايد أسماك آسيا والمحيط الهادى","亚太渔业委员会","Asia-Pacific Fisheries Commission","Comisión de Pesca para Asia-Pacífico","Commission Asie-Pacifique des pêches","Азиатско-Тихоокеанская комиссия по рыбному хозяйству","","","APFIC","CPAP","CAPP","АТКРХ"
"501","لجنة حفظ الموارد البحرية الحية في أنتاركتيكا","南极海洋生物资源保护委员会","Commission for the Conservation of Antarctic Marine Living Resources","Comisión para la Conservación de los Recursos Vivos Marinos Antárticos","Commission pour la conservation de la faune et de la flore marines de l'Antarctique","Комиссия по сохранению морских живых ресурсов Антарктики","","","CCAMLR","CCRVMA","CCAMLR","АНТКОМ"
"502","لجنة مصايد أسماك شرق وسط الأطلسى","中东大西洋渔业委员会","Fishery Committee for the Eastern Central Atlantic","Comité de Pesca para el Atlántico Centro-Oriental","Comité des pêches pour l'Atlantique Centre-Est","Комитет по рыбному промыслу в восточной части Центральной Атлантики","","","CECAF","CPACO","COPACE","КРВЦА"
"503","لجنة مصايد الأسماك الداخلية وتربية الأحياء المائية في أفريقيا","非洲内陆渔业和水产养殖委员会","Committee for Inland Fisheries and Aquaculture of Africa","Comité de Pesca Continental y Acuicultura para África","Comité des pêches continentales et de l'aquaculture pour l'Afrique","Комитет по рыболовству и аквакультуре во внутренних водоемах Африки","","","CIFAA","CPCAA","CPCAA",""
"504","","","Commission for Small-scale and Artisanal Fisheries and Aquaculture of Latin America and the Caribbean","Comisión de Pesca en Pequeña Escala, Artesanal y Acuicultura para América Latina y el Caribe","Commission de la petite pêche, de la pêche artisanale et de l’aquaculture pour l’Amérique latine et les Caraïbes","Комиссия по маломасштабному и кустарному рыболовству и аквакультуре для стран Латинской Америки и Карибского бассейна","","","COPPESAALC","COPPESAALC","COPPESAALC","КОППЕСААЛК"
"505","اللجنة الإقليمية لمصايد أسماك خليج غينيا","几内亚湾区域渔业理事会","Regional Fisheries Committee for the Gulf of Guinea","Comisión regional de Pesca del Golfo de Guinea","Comité régional des pêches du Golfe de Guinée","Региональная комиссия по рыболовству в Гвинейском заливе","","","COREP","COREP","COREP","КОРЕП"
"506","الهيئة الدائمة لجنوب المحيط الهادى","南太平洋常设委员会","Permanent Commission for the South Pacific","Comisión Permanente del Pacífico Sur","Commission permanente du Pacifique Sud","Постоянная комиссия для южной части Тихого океана","","","CPPS","CPPS","CPPS","ПКЮТО"
"507","الهيئة الاستشارية الأوروبية للمصايد الداخلية وتربية الأحياء المائية","欧洲内陆渔业及水产养殖咨询委员会","European Inland Fisheries and Aquaculture Advisory Commission","Comisión Asesora Europea sobre Pesca Continental y Acuicultura","Commission européenne consultative pour les pêches et l'aquaculture dans les eaux intérieures","Европейская консультативная комиссия по рыболовству и аквакультуре во внутренних водоемах","","","EIFAAC","CAEPCA","CECPAI","ЕККРАВВ"
"508","وكالة مصايد أسماك منتدى المحيط الهادى","太平洋岛屿论坛渔业局","Pacific Islands Forum Fisheries Agency","Organismo de Pesca del Foro para el Pacífico","Organisme des pêches du Forum du Pacifique","Рыболовное агентство Форума тихоокеанских островов","","","FFA","FFA","FFA",""
"509","الهيئة العامة لمصايد أسماك البحر الأبيض المتوسط","地中海渔业总委员会","General Fisheries Commission for the Mediterranean","Comisión General de Pesca del Mediterráneo","Commission générale des pêches pour la Méditerranée","Генеральная комиссия по рыболовству в Средиземном море","","","GFCM","CGPM","CGPM","ГКРС"
"511","الهيئة الدولية لصون أسماك التونة في المحيط الأطلسي","国际大西洋金枪鱼养护委员会","International Commission for the Conservation of Atlantic Tunas","Comisión Internacional para la Conservación del atún atlántico","Commission internationale pour la conservation des thonidés de l'Atlantique","Международная комиссия по сохранению атлантических тунцов","","","ICCAT","CICAA","CICTA","ИККАТ"
