"Group","Member","Start Year","End Year"
"507","105","1900","9999"
"507","106","1900","9999"
"507","119","1900","9999"
"507","126","1900","9999"
"507","256","1900","9999"
"507","150","1900","9999"
"507","162","1900","9999"
"507","173","1900","9999"
"507","174","1900","9999"
"507","183","1900","9999"
"507","199","1900","9999"
"507","203","1900","9999"
"507","210","1900","9999"
"507","211","1900","9999"
"507","223","1900","9999"
"507","229","1900","9999"
"508","10","1900","9999"
"508","25","1900","9999"
"508","47","1900","9999"
"508","66","1900","9999"
"508","83","1900","9999"
"508","148","1900","9999"
"508","155","1900","9999"
"508","156","1900","9999"
"508","160","1900","9999"
"508","145","1900","9999"
"508","127","1900","9999"
"508","180","1900","9999"
"508","168","1900","9999"
"508","218","1900","9999"
"508","219","1900","9999"
"508","227","1900","9999"
"508","244","1900","9999"
"509","3","1900","9999"
"509","4","1900","9999"
"509","27","1900","9999"
"509","98","1900","9999"
"509","50","1900","9999"
"509","68","1900","9999"
"509","84","1900","9999"
"509","105","1900","9999"
"509","106","1900","9999"
"509","110","1900","9999"
"509","121","1900","9999"
"509","124","1900","9999"
"509","134","1900","9999"
"509","140","1900","9999"
"509","273","1900","9999"
"509","143","1900","9999"
"509","183","1900","9999"
"509","198","1900","9999"
"509","203","1900","9999"
"509","212","1900","9999"
"509","222","1900","9999"
"509","223","1900","9999"
"509","59","1900","9999"
"511","4","1900","9999"
"511","7","1900","9999"
"511","14","1900","9999"
"511","17","1900","9999"
"511","21","1900","9999"
"511","23","1900","9999"
"511","239","1900","9999"
"511","33","1900","9999"
"511","35","1900","9999"
"511","41","1900","9999"
"511","214","1900","9999"
"511","61","1900","9999"
"511","74","1900","9999"
"511","81","1900","9999"
"511","89","1900","9999"
"511","90","1900","9999"
"511","95","1900","9999"
"511","96","1900","9999"
"511","99","1900","9999"
"511","107","1900","9999"
"511","110","1900","9999"
"511","117","1900","9999"
"511","124","1900","9999"
"511","128","1900","9999"
"511","138","1900","9999"
"511","143","1900","9999"
"511","147","1900","9999"
"511","155","1900","9999"
"511","157","1900","9999"
"511","162","1900","9999"
"511","166","1900","9999"
"511","171","1900","9999"
"511","185","1900","9999"
"511","187","1900","9999"
"511","258","1900","9999"
"511","190","1900","9999"
