"Identifier","Name_Ar","Name_Cn","Name_En","Name_Es","Name_Fr","Name_Ru","Short_Name_En","Short_Name_Es","Short_Name_Fr"
"826","بلدان الدخل المنخفض","低收入国家(简写为LIC)","Low-income countries","Países de bajos ingresos","Pays à faible revenu","страна с низким уровнем дохода","LIC","PBI","PFR"
"874","","","Lower-middle income countries","Países de ingresos medianos bajos","Pays à revenu intermédiaire de la tranche inférieure","","LMIC","PIMB","PRITI"
"875","بلد من الشريحة العليا من البلدان المتوسطة الدخل","中上等收入国家","Upper-middle income countries","Países de ingresos medianos altos","Pays à revenu intermédiaire de la tranche supérieure","страна с уровнем дохода выше среднего","UMIC","PIMA","PRITS"
"877","","高收入国家","High-income countries","Países de ingresos altos","Pays à revenu élevé","страна с высоким уровнем дохода","HIC","HIC","HIC"
"878","","","Countries not classified by World Bank","Países no clasificados por el Banco Mundial","Pays pas classé par la Banque Mondiale","","N.C.","N.C","N.C."
