"Identifier","Name_Ar","Name_Cn","Name_En","Name_Es","Name_Fr","Name_Ru","Short_Name_En","Short_Name_Es","Short_Name_Fr","UN_Code"
"315","أمريكا اللاتينية والبحر الكاريبي","拉丁美洲及加勒比","Latin America and the Caribbean","América Latina y el Caribe","Amérique latine et les Caraïbes","Латинская Америка и Карибский бассейн","LatAmer&Car","Amer Lat/Car","Amlatine&Car","419"
"390","أفريقيا جنوب الصحراء الكبرى","非洲撒哈拉南部地区","Africa South of the Sahara","África Subsahariana","Afrique Subsaharienne","Африка к югу от Сахары","Sub-Sahara","Áfr Subsahar","Afr Subsahar","202"
