"CPC_Code","Identifier","Name_En"
"4","315","Fish and other fishing products"
"21","523","Meat, fish, fruits, vegetables, oils and fats"
"38","720","Furniture; other transportable goods n.e.c."
"2","735","Live animals and animal products (excluding meat)"
