FAO_Code,Identifier,Name_En,Name_Es,Name_Fr
1.001.01,50003,Fish for ornamental and culture purposes,Péces ornamentales y para cultivo,Poissons d'ornement et pour l'élevage
1.001.09,50004,Other,Otros,Autres
1.004.10,50006,Freshwater fish,Peces de agua dulce,Poissons d'eau douce
1.004.20,50007,Diadromous fish,Peces diádromos,Poissons diadromes
1.004.31,50008,"Flounders, halibuts, soles","Platijas, halibuts, lenguados","Flets, flétans, soles"
1.004.32,50009,"Cod, hakes, haddocks","Bacalaos, merluzas, eglefinos","Morues, merlus, églefins"
1.004.36,50010,"Tunas, bonitos, billfishes","Atunes, bonitos, agujas","Thons, pélamides, marlins"
1.004.37,50011,Other pelagics,Otros peces pelágicos,Autres poissons pélagiques
1.004.39,50012,Other fish,Otro pescado,Autres poissons
1.004.99,50013,Miscellaneous fish products,Productos de pescado diversos,Produits divers de poisson
1.006.10,50015,Freshwater fish,Peces de agua dulce,Poissons d'eau douce
1.006.20,50016,Diadromous fish,Peces diádromos,Poissons diadromes
1.006.31,50017,"Flounders, halibuts, soles","Platijas, halibuts, lenguados","Flets, flétans, soles"
1.006.32,50018,"Cod, hakes, haddocks","Bacalaos, merluzas, eglefinos","Morues, merlus, églefins"
1.006.36,50019,"Tunas, bonitos, billfishes","Atunes, bonitos, agujas","Thons, pélamides, marlins"
1.006.37,50020,Other pelagics,Otros peces pelágicos,Autres poissons pélagiques
1.006.39,50021,Other fish,Otro pescado,Autres poissons
1.006.99,50022,Miscellaneous fish products,Productos de pescado diversos,Produits divers de poisson
1.014.10,50024,Freshwater fish,Peces de agua dulce,Poissons d'eau douce
1.014.20,50025,Diadromous fish,Peces diádromos,Poissons diadromes
1.014.31,50026,"Flounders, halibuts, soles","Platijas, halibuts, lenguados","Flets, flétans, soles"
1.014.32,50027,"Cod, hakes, haddocks","Bacalaos, merluzas, eglefinos","Morues, merlus, églefins"
1.014.36,50028,"Tunas, bonitos, billfishes","Atunes, bonitos, agujas","Thons, pélamides, marlins"
1.014.37,50029,Other pelagics,Otros peces pelágicos,Autres poissons pélagiques
1.014.39,50030,Other fish,Otro pescado,Autres poissons
1.016.10,50032,Freshwater fish,Peces de agua dulce,Poissons d'eau douce
1.016.20,50033,Diadromous fish,Peces diádromos,Poissons diadromes
1.016.31,50034,"Flounders, halibuts, soles","Platijas, halibuts, lenguados","Flets, flétans, soles"
1.016.32,50035,"Cod, hakes, haddocks","Bacalaos, merluzas, eglefinos","Morues, merlus, églefins"
1.016.36,50036,"Tunas, bonitos, billfishes","Atunes, bonitos, agujas","Thons, pélamides, marlins"
1.016.37,50037,Other pelagics,Otros peces pelágicos,Autres poissons pélagiques
1.016.39,50038,Other fish,Otro pescado,Autres poissons
1.026.10,50040,Freshwater fish,Peces de agua dulce,Poissons d'eau douce
1.026.20,50041,Diadromous fish,Peces diádromos,Poissons diadromes
1.026.31,50042,"Flounders, halibuts, soles","Platijas, halibuts, lenguados","Flets, flétans, soles"
1.026.32,50043,"Cod, hakes, haddocks","Bacalaos, merluzas, eglefinos","Morues, merlus, églefins"
1.026.36,50044,"Tunas, bonitos, billfishes","Atunes, bonitos, agujas","Thons, pélamides, marlins"
1.026.37,50045,Other pelagics,Otros peces pelágicos,Autres poissons pélagiques
1.026.39,50046,Other fish,Otro pescado,Autres poissons
1.029.10,50048,Freshwater fish,Peces de agua dulce,Poissons d'eau douce
1.029.20,50049,Diadromous fish,Peces diádromos,Poissons diadromes
1.029.31,50050,"Flounders, halibuts, soles","Platijas, halibuts, lenguados","Flets, flétans, soles"
1.029.32,50051,"Cod, hakes, haddocks","Bacalaos, merluzas, eglefinos","Morues, merlus, églefins"
1.029.36,50052,"Tunas, bonitos, billfishes","Atunes, bonitos, agujas","Thons, pélamides, marlins"
1.029.37,50053,Other pelagics,Otros peces pelágicos,Autres poissons pélagiques
1.029.39,50054,Other fish,Otro pescado,Autres poissons
1.029.99,50055,Miscellaneous fish products,Productos de pescado diversos,Produits divers de poisson
1.039.10,50057,Freshwater fish,Peces de agua dulce,Poissons d'eau douce
1.039.20,50058,Diadromous fish,Peces diádromos,Poissons diadromes
1.039.32,50059,"Cod, hakes, haddocks","Bacalaos, merluzas, eglefinos","Morues, merlus, églefins"
1.039.36,50060,"Tunas, bonitos, billfishes","Atunes, bonitos, agujas","Thons, pélamides, marlins"
1.039.37,50061,Other pelagics,Otros peces pelágicos,Autres poissons pélagiques
1.039.39,50062,Other fish,Otro pescado,Autres poissons
1.039.99,50063,Miscellaneous fish products,Productos de pescado diversos,Produits divers de poisson
2.006.41,50066,Freshwater crustaceans,Crustáceos de agua dulce,Crustacés d'eau douce
2.006.42,50067,"Crabs, sea-spiders","Cangrejos, centollas","Crabes, araign;ees de mer"
2.006.43,50068,"Lobsters, spiny-rock lobsters","Bogavantes, langostas","Homards, langoustes"
2.006.44,50069,"King crabs, squat-lobsters","Cangrejos reales, galeteidos","Crabes royaux, galatées"
2.006.45,50070,"Shrimps, prawns","Gambas, camarones",Crevettes
