"Acronym","Code","Description","Name_En","Name_Es","Name_Fr"
"DATA_VALIDATION","17.4","Process of monitoring the results of data compilation and ensuring the quality of the statistical results (see also 16.3. Coherence). Data validation describes all methods and processes (e.g. such as data editing, imputation of missing values) for assessing statistical data, and how the results of the assessments are monitored and made available to improve statistical processes (e.g. The data undergoes comprehensive validation work that covers: detection of outliers, transmission errors and data consistency checks; e.g. Countries asked to examine the disseminated results for their country and either to confirm that they are correct or to provide remarks and / or revised data if they identify errors).
A reference to FAO Statistical Standard on Data editing and validation of input data   should be included.
For statistical outputs based on non-statistical data sources, discuss the linkage(s) of the data sources with other sources, and linkage methods used for the validation of the outputs (if relevant).","Data validation","Validación de datos","Validation des données"
"DATA_COMP","17.5","Operations performed on data to derive new information according to a given set of rules. Description of the data compilation process for deriving the main statistical outputs (aggregates, indicators, etc.) starting from the validated input data (e.g. FAO is responsible for compiling the data and generating regional aggregates).","Data compilation","Recopilación de datos","Compilation de données"
"REG_AGG","17.6","Methods used to produce global, regional and sub-regional aggregates. A reference FAO Statistical Standard on Data aggregation  should be included.","Regional aggregation","Agregación regional","Agrégation régionale"
"ADJUSTMENT","17.7","Set of procedures employed to modify statistical data to enable it to conform to international standards or to address data quality differences when compiling specific data sets such as seasonal adjustment, exchange rates, prices, time series decomposition and other methods.
Adjustments are in particular applied to compile consistent time series, but the concept is also used for describing adjustments related to other types of data (e.g. For quarterly data, seasonally and calendar adjusted data are compiled using an indirect approach, i.e. based on the submitted country figures).","Adjustment","Ajustamiento","Ajustement"
"IMPUTATION","17.8","Procedures used to impute data items where response were missing, unusable or discarded due to expected low quality. A reference to FAO Statistical Standard on Imputation  should be included.","Imputation","Imputación","Imputation"
"QUALITY_MGMNT","18","Systems and frameworks in place within an organization to manage the quality of statistical products and processes. (Information relating to this concept is provided by reporting on its sub-concepts)","Quality management","Gestión de la calidad","Gestion de la qualité"
"QUALITY_ASSURE","18.1","All the planned and systematic activities implemented that can be demonstrated to provide confidence that the data production processes to fulfill the requirements for the statistical output, including measures for ensuring the efficient use of resources.
The concept includes the design of programmes for quality management, the description of planning process, and other organizational arrangements to support and maintain planning function and brief description on how it is implemented for the domain-specific quality assurance activities (the use of best practices, quality reviews, self-assessments, compliance monitoring, internal audits, checklist for assessment of databases. etc.).
Use a standard text, if possible.
E.g. FAO is responsible for the quality of the internal statistical processes used to compile the published datasets. The FAO Statistics and Data Quality Assurance Framework (SDQAF), available at:  http://www.fao.org/3/cc6683en/cc6683en.pdf, provides the necessary principles, guidelines and tools to carry out quality assessments. FAO is performing an internal bi-annual survey (the FAO Quality Assessment and Planning Survey (QAPS)) designed to gather information on all of FAO’s statistical activities, notably to assess the extent to which quality standards are being implemented with a view to increasing compliance with the quality dimensions of SDQAF, documenting best practices and prepare quality improvement plans, where necessary. Domain-specific quality assurance activities are carried out systematically (e.g. quality reviews, self-assessments, compliance monitoring).","Quality assurance","Garantía de calidad","Garantie de la qualité"
"QUALITY_ASSMNT","18.2","Overall evaluation of data quality based on standard quality criteria. It includes the result of a scoring or grading process for quality (e.g. QAPS, overall assessment of the database). Scoring may be quantitative or qualitative. A qualitative assessment of the overall quality of the statistical outputs should be provided by summarizing the main strengths and possible quality deficiencies. Any trade-offs between quality aspects can be mentioned as well as planned quality improvements (e.g. if possible, the results of the FAO Quality Assessment and Planning Survey – QAPS should be reported).","Quality assessment","Evaluación de la calidad","Évaluation de la qualité"
"REC_USE_LIM","19","Metadata elements guiding users of the statistics presented and helping them to determine whether the product meets their requirements
(DISCLAIMER CLAUSES)","Recommended uses and limitations","Usos recomendados y limitaciones","Utilisations recommandées et limitations"
"COMMENT","20","Supplementary descriptive text which can be attached to data or metadata.","Comment","Comentario","Commentaire"
