"Acronym","Code","Description","Name_En","Name_Es","Name_Fr"
"INST_MAN_ACQ_TRANS","08.2","Arrangements, procedures or agreements in place for the acquisition, access and transmission of the data used to generate these data outputs. 
If relevant, a reference to the data sharing agreement or the terms of use of the data sourced should be provided as well as a weblink to these if publicly available
If data accessed and transmitted include personal data, a reassurance that the data were accessed, managed and transmitted in accordance with FAO Data protection policy should be provided.
If non-statistical data sources were used, the following should be described:
•	Modes of data access (full access to raw data or access to pre-processed data by FAO or through third party )
•	In case of access to pre-processed data by third-party/data provider: information about the methods applied to the raw data resulting in the pre-processed data 
•	Time and method of transmission
•	Time horizon of the cooperation - Is a long-term access to the data guaranteed?""

Use a standard text, if possible.
For example, EU member country production data for the primary commodities are obtained from Eurostat (with some minor exceptions) since 2018, in accordance with the Memorandum of Understanding (MoU) between Eurostat and FAO on agriculture statistics.","Data acquisition and data transmission","Adquisición y transmisión de datos","Acquisition et transmission de données"
"CONF","09","Property of data indicating whether they are subject to dissemination restrictions.
Data are protected by confidentiality in cases where unauthorized disclosure could be prejudicial or harmful to the interest of the source or other relevant parties.
(Information relating to this concept is provided by reporting on its sub-concepts)","Confidentiality","Confidencialidad","Confidentialité"
"CONF_POLICY","09.1","Legislative measures, rules or other formal procedures related to statistical confidentiality, which prevent unauthorized disclosure of data that identify a person or economic entity either directly or indirectly: It should provide the assurance that all necessary methods assuring confidentiality have been applied to the data.
Use a standard text, if possible.
FAO Data and statistics are produced in accordance with FAO Policy on Data Protection and the implementation modalities of FAO SDQAF Principle 4 on Data protection and Statistical Confidentiality.","Confidentiality - policy","Política de privacidad","Politique de confidentialité"
"CONF_DATA_TR","09.2","Rules applied for treating the data set with regard to statistical confidentiality to ensure that private information from individual units cannot be accessed and to prevent unauthorized disclosure (e.g. cell suppression, aggregation of sensitive information, aggregation rules on aggregated confidential data).
Use a standard text, if possible.
If any, confidential data are suppressed and not disseminated by FAO. They are marked in the database with SDMX flag “Q - Missing value; suppress”. To avoid residual disclosures, aggregates are also suppressed as necessary.","Confidentiality - data treatment","Confidencialidad - tratamiento de datos","Confidentialité - traitement des données"
"CONF_PRIVACY","09.3","Discuss how privacy sensitive is the information used to produce this or these statistical output data. State which treatments were applied to satisfy privacy concerns. In the case of personal information collected and acquired by FAO, describe how it complies with the organization’s Data Protection Policy  throughout the data lifecycle, including obtaining/renewing the informed consent of data provider and deleting the data once the purpose for which it was collected is achieved. 

When data is coming from external data providers and contains personal information, state what steps have been taken to ensure that the third parties’ security measures for processing and/or transferring the data are at least comparable to those that are required for data of the same confidentiality classification in FAO.","Privacy","Privacidad","Confidentialité"
"REL_POLICY","10","Rules for disseminating statistical data to users and all interested parties. (Information relating to this concept is provided by reporting on its sub-concepts)","Release policy","Política de publicación","Politique de publication"
"REL_CAL_POLICY","10.1","Schedule of statistical release dates. The policy regarding the release of statistics according to a preannounced schedule should be described. It should also be mentioned if a release calendar for the data set in question exists and if this calendar is publicly accessible.","Release calendar","Calendario de publicación","Calendrier de publication"
"REL_CAL_ACCESS","10.2","Description of how the release calendar can be accessed. The release date of the statistical output(s) should be included in FAO Data Release Calendar and a weblink to this calendar should be provided to access it (https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fwww.fao.org%2Fdocs%2Fstatisticslibraries%2Finternal-presentations%2Ffao_data_release_calendar.xlsx%3Fsfvrsn%3D526bb8f4_3&wdOrigin=BROWSELINK)","Release calendar access","Acceso al calendario de publicación","Accès au calendrier de publication"
"REL_POL_US_AC","10.3","Policy for release of the data to users, scope of dissemination (e.g. to the public, to selected users), how data users are informed that the data are being released, and whether the policy allows the dissemination of statistical data to all users.

Use a standard text, if possible.
This data domain is disseminated according to FAO's Open Data Licensing for Statistical Databases Policy, under the Creative Commons Attribution 4.0 International license (CC-BY 4.0; https://creativecommons.org/licenses/by/4.0/) and are subject to FAO Statistical Database Terms of Use (https://www.fao.org/contact-us/terms/db-terms-of-use/en/).

Add and customize the following additional text, when dataset is subject to third party terms of use (e.g. FAO datasets based on COMTRADE, ILO or OECD data).
For this particular data domain, data sourced from [Name of data source] and only marginally processed by FAO might be subject to additional restrictions. Please consult [Name of data source]'s copyright notice for more details ([URL of copyright notice])","User access","Acceso de usuario","Accès de l'utilisateur"
"REL_SPDX_CODE","10.4","This is a field introduced by FAO to describe the standard license in a machine readable formal (based on standard coding systems, in particular SPDX ISO/IEC 5962:2021).
For all databases listed under Open Data Licensing for Statistical Databases Policy, this field should be:
https://creativecommons.org/licenses/by/4.0/","Open data license","Licencia de datos abiertos","Licence de données ouvertes"
