"Acronym","Description_En","Description_Es","Description_Fr","EBXCodelist","Identifier","NameColumn","Name_En","Name_Es","Name_Fr","Notes","Sort"
"COMMODITY_FAOSTAT1","FAOSTAT group","Grupo de productos FAOSTAT","Groupe des produits FAOSTAT","108","57","","FAOSTAT group","Grupo de productos FAOSTAT","Groupe des produits FAOSTAT","","308"
"TRADE_FLOW_AGG","Trade flow (grouped)","Dirección del comercio (agrupada)","Direction du commerce (groupée)","522","58","","Trade flow (grouped)","Dirección del comercio (agrupada)","Direction du commerce (groupée)","","701"
"TRADE_FLOW","Trade flow","Dirección del comercio","Direction du commerce","523","59","","Trade flow","Dirección del comercio","Direction du commerce","","702"
"COUNTRY_REPORTER","Reporting country","País declarante","Pays déclarant","200","71","","Reporting country","País declarante","Pays déclarant","20","101"
"COUNTRY_PARTNER","Partner country","País socio","Pays partenaire","200","72","","Partner country","País socio","Pays partenaire","20","111"
"CONTINENT_REPORTER","Partner countries by continent","Países socios por continente","Pays partenaires par continent","201","73","","Reporters by continent","Socios por continente","Partenaires par continent","","102"
"CONTINENT_PARTNER","Partner countries by continent","Países socios por continente","Pays partenaires par continent","201","74","","Partners by continent","Socios por continente","Partenaires par continent","","112"
"GEO_REGION_REPORTER","Reporting countries by geographical region","Países declarantes por región geográfica","Pays déclarants par région géographique","208","75","","Reporters by geographical region","Declarantes por región geográfica","Déclarants par région géographique","","103"
"GEO_REGION_PARTNER","Partner countries by geographical region","Países socios por región geográfica","Pays partenaires par région géographique","208","76","","Partners by geographical region","Socios por región geográfica","Partenaires par région géographique","","113"
"ECON_CLASS_REPORTER","Reporting countries by economic class","Países declarantes por clase económica","Pays déclarantes par classe économique","202","77","","Reporters by economic class","Declarantes por clase económica","Déclarants par classe économique","","105"
"ECON_CLASS_PARTNER","Partner countries by economic class","Países socios por clase económica","Pays partenaires par classe économique","202","78","","Partners by economic class","Socios por clase económica","Partenaires par classe économique","","115"
"ECON_GROUP_REPORTER","Reporting countries by economic group","Países declarantes por grupo económico","Pays déclarants par groupe économique","203","79","","Reporters by economic group","Declarantes por grupo económico","Déclarants par groupe économique","","106"
"ECON_GROUP_PARTNER","Partner countries by economic group","Países socios por grupo económico","Pays partenaires par groupe économique","203","80","","Partners by economic group","Socios por grupo económico","Partenaires par groupe économique","","116"
"OTHER_COUNTRY_REPORTER","Other reporter country groups","Grupos de paises declarantes diversos","Groupes de pays déclarants divers","214","83","","Other reporter country groups","Grupos de paises declarantes diversos","Groupes de pays déclarants divers","","109"
"OTHER_COUNTRY_PARTNER","Other partner country groups","Grupos de paises socios diversos","Groupes de pays partenaires divers","214","84","","Other partner country groups","Grupos de paises socios diversos","Groupes de pays partenaires divers","","119"
"FAO_Regions","FAO regional groups (Operational)","Grupos regionales FAO","Groupes régionales FAO","206","85","FAO Regions","FAO Regional groups","Grupos regionales FAO","Groupes régionales FAO","","115"
"CAUSES_L1","Hazards classification","Clasificación de riesgos","Classification des risques","91","91","","Hazard","Riesgo","Risque","",""
"CAUSES_L2","Border rejection causes detail","Detalle de las causas del rechazo fronterizo","Détail des causes du rejet à la frontière","92","92","","Cause","Causa","Cause","",""
"COUNTRY_EXPORT","Exporter country","País exportador","Pays exportateur","200","93","","Exporter","Exportador","Exportateur","",""
"COUNTRY_IMPORT","Importer country","País importador","Pays importateur","200","94","","Importer","Importador","Importateur","",""
"GEOREGION_EXPORT","Exporters region","Región de los exportadores","Région des exportateurs","208","95","","Exporters region","Región de los exportadores","Région des exportateurs","",""
"GEOREGION_IMPORT","Importers region","Región de los importadores","Région des importateurs","208","96","","Importers region","Región de los importadores","Région des importateurs","",""
"PRODUCT_L1","Product Classification","Clasificación de productos","Classification des produits","94","97","","Products classification","Clasificación de productos","Classification des produits","",""
"PRODUCT_L2","Product","Producto","Produit","95","98","","Product","Producto","Produit","",""
"CONTINENT_EXPORT","Exporter continent","Continente de los exportadores","Continent des exportateurs","201","99","","Exporter continent","Continente de los exportadores","Continent des exportateurs","",""
"CONTINENT_IMPORT","Importer continent","Continente de los importadores","Continent des importateurs","201","100","","Importer continent","Continente de los importadores","Continent des importateurs","",""
"CL_CWP_GEAR_LEVEL2","CWP Gear","CWP categoría de artes","CWP catégorie d'engins","551","551","","CWP Gear","CWP categoría de artes","CWP catégorie d'engins","",""
"MEASURE","Measure","Medida","Mesure","910","9000","","Measure","Medida","Mesure","",""
"UNIT","Unit","Unidad","Unité","910","9999","","Unit","Unidad","Unité","",""
