"Code","Identifier","Name_En","Name_Es","Name_Fr"
"IN","1","Freshwater","Agua dulce","Eau douce"
"BW","2","Brackishwater","Agua salobre","Eau saumâtre"
"MA","3","Marine","Marina","Marine"
"AL","101","All environments","Todas","Tous milieux"
