"Code","Identifier","Name_En","Name_Es","Name_Fr"
"LSL","371","Loti","Loti","Loti"
"LUF","372","Luxembourg Franc","",""
"MGF","373","Malagasy Franc","",""
"MYR","374","Malaysian Ringgit","Ringgit malayo","Ringgit de Malaisie"
"MLF","375","Mali Franc","",""
"LSM","376","Maloti","",""
"MTL","377","Maltese Lira","Libra maltesa","Livre maltaise"
"MTP","378","Maltese Pound","",""
"TMM","379","Manat","Manat","Manat"
"DDM","380","Mark der DDR","",""
"FIM","381","Markka","",""
"MUR","382","Mauritius Rupee","Rupia mauricia","Roupie de Maurice"
"MZM","383","Metical","Metical","Metical"
"MXN","384","Mexican Peso","Peso mexicano","Peso mexicain"
"MXP","385","Mexican Peso","",""
"MDL","386","Moldovan Leu","Leu de Moldova","Leu de Moldovie"
"MAD","387","Moroccan Dirham","Dirham marroquí","Dirham marocain"
"MZE","388","Mozambique Escudo","",""
"NGN","389","Naira","Naira","Naira"
"ERN","390","Nakfa","Nakfa","Nakfa"
"NAD","391","Namibian Dollar","Dólar namibiano","Dollar namibien"
"NPR","392","Nepalese Rupee","Rupia nepalesa","Roupie du Népal"
"ANG","393","Netherlands Antillian Guilder","Florín de las Antillas","Florin des Antilles"
"NLG","394","Netherlands Guilder","",""
"BRN","395","New Cruzeiro","",""
"YUM","396","New Dinar","",""
"ILS","397","New Israeli Sheqel","Nuevo israelí sheqel","Nouveau israëli sheqel"
"AON","398","New Kwanza","",""
"BNG","399","New Lev","",""
"TWD","400","New Taiwan Dollar","Nuevo dólar taiwanés","Nouveau dollar de Taïwan"
"YUD","401","New Yugoslavian Dinar","",""
"ZRN","402","New Zaire","",""
"NZD","403","New Zealand Dollar","Dólar neozelandés","Dollar néo-zélandais"
"BTN","404","Ngultrum","Ngultrum","Ngultrum"
"KPW","405","North Korean Won","Won de la Corea del Norte","Won de la Corée du Nord"
"NOK","406","Norwegian Krone","Corona noruega","Couronne norvégienne"
"PEN","407","Sol","Sol","Sol"
"MRO","408","Ouguiya","Ouguiya","Ouguija"
"TOP","409","Pa'anga","Pa'anga","Pa'anga"
"PKR","410","Pakistan Rupee","Rupia paquistaní","Roupie du Pakistan"
"MOP","411","Pataca","",""
"UYU","412","Peso Uruguayo","Peso uruguayo","Peso uruguayen"
"PHP","413","Philippine Peso","Peso filipino","Peso philippin"
"PTE","414","Portuguese Escudo","",""
"GBP","415","Pound Sterling","Libra esterlina","Livre sterling"
"BWP","416","Pula","Pula","Pula"
"QAR","417","Qatari Rial","Rial de Qatar","Riyal du Qatar"
"GTQ","418","Quetzal","Quetzal","Quetzal"
"ZAR","419","Rand","Rand","Rand"
"BRR","420","Real","",""
"OMR","421","Rial Omani","Rial omaní","Rial omanais"
"KHR","422","Riel","Riel","Riel"
"SUR","423","Rouble","",""
"MVR","424","Rufiyaa","Rifiyaa","Rufiyaa"
"IDR","425","Rupiah","Rupia","Rupiah"
"RUB","426","Russian Ruble","Rublo ruso","Rouble russe"
"RUR","427","Russian Ruble","",""
"RWF","428","Rwanda Franc","Franco ruandés","Franc du Rwanda"
"GWE","429","Sao Tome Escudo","",""
"SAR","430","Saudi Riyal","Rial saudí","Riyal saoudien"
"ATS","431","Schilling","",""
"SCR","432","Seychelles Rupee","Rupia de Seychelles","Roupie des Seychelles"
"SGD","433","Singapore Dollar","Dólar singapurense","Dollar de Singapour"
"SKK","434","Slovak Koruna","Corona eslovaca","Couronne slovaque"
"PES","435","Sol","",""
"SBD","436","Solomon Islands Dollar","Dólar de las Islas Salomón","Dollar de Salomon"
"KGS","437","Som","Som","Som"
"SOS","438","Somali Shilling","Chelín somalí","Shilling de Somalie"
"TJS","439","Somoni","Somoni","Somoni"
"ESP","440","Spanish Peseta","",""
"LKR","441","Sri Lanka Rupee","Rupia de Sri Lanka","Roupie de Sri Lanka"
"SHP","442","Saint Helena Pound","Libra de Santa Elena","Livre de Sainte-Hélène"
"ECS","443","Sucre","",""
"SDD","444","Sudanese Dinar","",""
"SDP","445","Sudanese Pound","",""
"SRG","446","Suriname Guilder","",""
"SEK","447","Swedish Krona","Corona sueca","Couronne suédoise"
"CHF","448","Swiss Franc","Franco suizo","Franc suisse"
"GNS","449","Syli","",""
"SYP","450","Syrian Pound","Libra siria","Livre syrienne"
"TJR","451","Tajik Ruble","",""
"BDT","452","Taka","Taka","Taka"
"WST","453","Tala","Tala","Tala"
"LTT","454","Talonas","",""
"TZS","455","Tanzanian Shilling","Chelín tanzano","Shilling de Tanzanie"
"KZT","456","Tenge","Tenge","Tenge"
"TPE","457","Timor Escudo","",""
"SIT","458","Tolar","",""
"TTD","459","Trinidad and Tobago Dollar","Dólar de Trinidad y Tabago","Dollar de la Trinité et de Tobago"
"MNT","460","Tugrik","Tugrik","Tugrik"
"TND","461","Tunisian Dinar","Dinar tunecino","Dinar tunisien"
"TRL","462","Turkish Lira","Lira turca","Livre turque"
"AED","463","UAE Dirham","Dirham de los Emiratos Árabes Unidos","Dirham des Émirats Arabes Unis"
