"Code","Identifier","Name_En","Name_Es","Name_Fr","Name_Ru"
"U","0","Unknown gender","Género desconocido","Genre inconnu","пол неизвестен"
"F","1","Female","Mujeres","Femmes","женщины"
"M","2","Male","Hombres","Hommes","мужчины"
