"Code","Identifier","Name_En","Name_Es","Name_Fr"
"P","51","Processed production","Producción de productos elaborados","Production transformée"
"I","61","Imports","Importaciones","Importations"
"E","91","Exports","Exportaciones","Exportations"
"R","221","Reexports","Re-exportaciones","Re-exportations"
