"Group","ISSCFCmapping","Member"
"500","true","1263"
"501","false","71"
"501","true","1264"
"502","true","4"
"503","true","72"
"504","true","1201"
"505","true","1409"
"506","true","1410"
"507","true","5"
"507","false","6"
"507","false","1407"
"507","false","1408"
"507","false","1411"
"507","false","1788"
"508","true","18"
"509","true","16"
"510","true","15"
"510","false","17"
"511","false","14"
"511","true","19"
"511","false","1161"
"512","false","20"
"512","false","21"
"512","false","22"
"512","true","23"
"513","true","1006"
"514","true","25"
"514","false","1013"
"515","true","1015"
"516","false","1"
"516","false","24"
"516","true","26"
"516","false","1005"
"516","false","1007"
"516","false","1008"
"516","false","1009"
"516","false","1010"
"516","false","1011"
"516","false","1012"
"516","false","1014"
"517","true","114"
"518","true","115"
"519","true","112"
"520","true","116"
"521","true","113"
"522","true","1223"
"523","true","118"
"524","false","59"
"524","false","60"
"524","true","61"
"525","true","65"
"526","false","62"
"526","false","63"
"526","false","64"
"526","true","1213"
"527","false","120"
"527","true","121"
"527","false","853"
"527","false","1425"
"528","true","56"
"529","true","1424"
"530","true","117"
"531","false","1163"
"531","false","1245"
"531","false","1418"
"531","false","1421"
"531","true","1790"
"531","false","1811"
"531","false","1812"
"532","false","43"
"532","false","44"
"532","true","73"
"532","false","1412"
"533","true","46"
"534","true","47"
"535","false","1018"
"535","false","1019"
"535","false","1020"
"535","false","1021"
"535","false","1022"
"535","true","1023"
"535","false","1162"
"535","false","1414"
"535","false","1415"
"536","true","2"
"537","false","1016"
"537","false","1017"
"537","true","1621"
"538","false","48"
"538","true","50"
"538","false","89"
"538","false","90"
"538","false","1024"
"538","false","1413"
"538","false","1779"
"539","true","8"
"540","true","9"
"541","true","7"
"542","true","12"
"542","false","13"
"543","false","1003"
"543","true","1620"
"544","true","122"
"544","false","1202"
"544","false","1426"
"544","false","1605"
"544","false","1814"
"544","false","1815"
"544","false","1816"
"545","true","1164"
"546","true","1207"
"547","true","1035"
"548","true","52"
"548","false","1416"
"549","false","10"
"549","false","11"
"549","false","51"
"549","false","53"
"549","false","54"
"549","false","55"
"549","false","58"
"549","false","66"
"549","false","74"
"549","false","91"
"549","false","119"
"549","false","123"
"549","false","124"
"549","false","342"
"549","false","900"
"549","false","1002"
"549","false","1025"
"549","false","1026"
"549","false","1027"
"549","false","1028"
"549","false","1029"
"549","false","1030"
"549","false","1031"
"549","false","1032"
"549","false","1033"
"549","false","1034"
"549","false","1036"
"549","false","1037"
"549","false","1038"
"549","false","1039"
"549","false","1040"
"549","false","1041"
"549","false","1042"
"549","false","1043"
"549","false","1044"
"549","false","1045"
"549","false","1046"
"549","false","1047"
"549","false","1048"
"549","false","1049"
"549","false","1050"
"549","false","1051"
"549","false","1052"
"549","false","1053"
"549","false","1054"
"549","false","1055"
"549","false","1056"
"549","false","1057"
"549","false","1058"
"549","false","1149"
"549","false","1150"
"549","false","1151"
"549","false","1159"
"549","false","1160"
"549","false","1216"
"549","false","1292"
"549","false","1293"
"549","true","1295"
"549","false","1417"
"549","false","1419"
"549","false","1420"
"549","false","1422"
"549","false","1423"
"550","false","125"
"550","false","126"
"550","true","127"
"551","true","1624"
"552","true","1623"
"553","true","1225"
"554","true","1226"
"555","true","134"
"556","true","150"
"557","false","133"
"557","false","136"
"557","false","151"
"557","true","152"
"558","true","1210"
"559","true","129"
"560","true","128"
"561","true","132"
"562","false","1062"
"562","true","1625"
"563","false","153"
"563","false","154"
"563","false","155"
"563","true","156"
"564","true","1063"
"565","true","158"
"565","false","1070"
"566","true","1072"
"567","false","92"
"567","false","157"
"567","true","159"
"567","false","901"
"567","false","1064"
"567","false","1065"
"567","false","1066"
"567","false","1067"
"567","false","1068"
"567","false","1069"
"567","false","1071"
"567","false","1152"
"568","true","199"
"568","false","200"
"568","false","201"
"569","true","202"
"569","false","203"
"569","false","204"
"570","true","197"
"570","false","1567"
"570","false","1568"
"571","true","205"
"571","false","1569"
"571","false","1570"
"572","true","198"
"573","true","1224"
"574","true","208"
"574","false","209"
"574","false","210"
"575","false","189"
"575","false","190"
"575","true","191"
"576","false","192"
"576","false","193"
"576","false","194"
"576","true","1214"
"577","false","79"
"577","false","215"
"577","true","216"
"577","false","1437"
"578","true","186"
"579","true","1436"
"580","true","207"
"581","false","96"
"581","false","183"
"581","false","195"
"581","false","206"
"581","false","1246"
"581","false","1433"
"581","true","1791"
"581","false","1818"
"581","false","1819"
"582","false","161"
"582","false","162"
"582","true","163"
"582","false","1427"
"583","true","164"
"584","true","165"
"585","false","1075"
"585","false","1076"
"585","false","1077"
"585","false","1078"
"585","true","1079"
"585","false","1147"
"585","false","1165"
"585","false","1429"
"585","false","1430"
"586","true","166"
"587","false","1073"
"587","false","1074"
"587","true","1626"
"588","false","93"
"588","false","94"
"588","false","167"
"588","true","169"
"588","false","1080"
"588","false","1428"
"588","false","1785"
"589","true","217"
"589","false","1203"
"589","false","1438"
"589","false","1604"
"589","false","1820"
"589","false","1821"
"590","true","218"
"591","true","1208"
"592","true","170"
"593","false","95"
"593","false","97"
"593","false","131"
"593","false","171"
"593","false","172"
"593","false","173"
"593","false","174"
"593","false","175"
"593","false","180"
"593","false","181"
"593","false","182"
"593","false","184"
"593","false","185"
"593","false","187"
"593","false","188"
"593","false","196"
"593","false","214"
"593","false","219"
"593","false","220"
"593","false","911"
"593","false","1060"
"593","false","1061"
"593","false","1081"
"593","false","1082"
"593","false","1083"
"593","false","1084"
"593","false","1085"
"593","false","1086"
"593","false","1087"
"593","false","1088"
"593","false","1089"
"593","false","1090"
"593","false","1091"
"593","false","1092"
"593","false","1093"
"593","false","1094"
"593","false","1095"
"593","false","1096"
"593","false","1097"
"593","false","1098"
"593","false","1099"
"593","false","1100"
"593","false","1101"
"593","false","1102"
"593","false","1103"
"593","false","1104"
"593","false","1105"
"593","false","1107"
"593","false","1153"
"593","false","1154"
"593","false","1155"
"593","false","1156"
"593","false","1157"
"593","false","1158"
"593","false","1217"
"593","false","1247"
"593","false","1297"
"593","true","1299"
"593","false","1431"
"593","false","1432"
"593","false","1434"
"593","false","1435"
"593","false","1786"
"594","false","98"
"594","false","99"
"594","false","100"
"594","false","101"
"594","false","102"
"594","false","221"
"594","false","222"
"594","true","223"
"595","true","1265"
"596","true","884"
"597","true","1211"
"598","true","899"
"599","true","1109"
"600","false","106"
"600","false","224"
"600","true","1627"
"601","true","967"
"602","true","1259"
"603","false","227"
"603","false","228"
"603","false","229"
"603","true","230"
"603","false","1110"
"603","false","1111"
"603","false","1112"
"603","false","1113"
"603","false","1114"
"603","false","1115"
"603","false","1116"
"603","false","1117"
"603","false","1118"
"603","false","1304"
"603","false","1305"
"603","false","1784"
"604","false","231"
"604","false","232"
"604","false","233"
"604","false","234"
"604","false","235"
"604","false","236"
"604","true","238"
"604","false","1119"
"604","false","1120"
"604","false","1121"
"604","false","1122"
"604","false","1123"
"604","false","1124"
"604","false","1125"
"604","false","1126"
"604","false","1127"
"605","true","1169"
"606","true","1439"
"607","true","258"
"607","false","1204"
"607","false","1822"
"607","false","1823"
"607","false","1824"
"608","true","1792"
"609","false","104"
"609","false","225"
"609","false","226"
"609","false","251"
"609","false","252"
"609","false","253"
"609","false","254"
"609","false","255"
"609","false","256"
"609","false","257"
"609","false","280"
"609","false","968"
"609","false","1108"
"609","false","1237"
"609","true","1308"
"609","false","1441"
"609","false","1442"
"609","false","1628"
"610","true","1631"
"611","false","963"
"611","true","1634"
"612","true","1640"
"613","true","1572"
"614","true","1574"
"615","true","1793"
"615","false","1825"
"615","false","1826"
"615","false","1827"
"616","true","1794"
"617","false","964"
"617","false","1228"
"617","false","1229"
"617","false","1315"
"617","true","1444"
"617","false","1575"
"617","false","1630"
"617","false","1636"
"617","false","1638"
"617","false","1642"
"617","false","1643"
"617","false","1644"
"617","false","1646"
"617","false","1648"
"617","false","1717"
"618","true","1212"
"619","true","260"
"620","true","1129"
"621","false","108"
"621","true","1649"
"622","false","271"
"622","false","272"
"622","true","273"
"622","false","326"
"622","false","327"
"622","false","328"
"623","true","275"
"623","false","329"
"624","true","290"
"624","false","330"
"625","false","332"
"625","false","1140"
"625","false","1141"
"625","false","1142"
"625","false","1143"
"625","false","1144"
"625","true","1145"
"625","false","1446"
"626","true","291"
"626","false","331"
"627","false","274"
"627","false","292"
"627","true","294"
"627","false","1138"
"627","false","1139"
"627","false","1146"
"627","false","1257"
"628","true","109"
"629","true","1260"
"630","false","264"
"630","false","265"
"630","false","266"
"630","false","267"
"630","false","268"
"630","false","269"
"630","true","270"
"630","false","311"
"630","false","1130"
"630","false","1131"
"630","false","1132"
"630","false","1133"
"630","false","1134"
"630","false","1135"
"630","false","1136"
"630","false","1137"
"630","false","1320"
"630","false","1321"
"631","true","1171"
"632","true","1209"
"633","false","300"
"633","false","301"
"633","true","302"
"634","true","305"
"635","false","307"
"635","false","1205"
"635","false","1238"
"635","false","1603"
"635","false","1810"
"635","false","1829"
"635","true","1880"
"636","false","3"
"636","false","261"
"636","false","263"
"636","false","295"
"636","false","296"
"636","false","297"
"636","false","298"
"636","false","299"
"636","false","303"
"636","false","304"
"636","false","306"
"636","false","308"
"636","false","309"
"636","false","310"
"636","false","333"
"636","false","334"
"636","false","1218"
"636","false","1319"
"636","true","1323"
"636","false","1325"
"636","false","1326"
"636","false","1328"
"636","false","1330"
"636","false","1447"
"636","false","1448"
"636","false","1576"
"636","false","1650"
"637","true","1353"
"638","true","1561"
"639","false","130"
"639","false","1653"
"639","true","1654"
"640","false","338"
"640","true","1258"
"641","false","78"
"641","false","336"
"641","false","337"
"641","false","339"
"641","false","886"
"641","false","887"
"641","false","888"
"641","false","889"
"641","false","1270"
"641","false","1271"
"641","false","1344"
"641","false","1345"
"641","false","1346"
"641","false","1452"
"641","false","1453"
"641","false","1651"
"641","false","1657"
"641","true","1776"
"642","true","1661"
"642","false","1830"
"642","false","1831"
"642","false","1832"
"643","true","1795"
"644","false","75"
"644","false","76"
"644","false","77"
"644","false","80"
"644","false","81"
"644","false","335"
"644","false","340"
"644","false","890"
"644","false","892"
