"Code","Identifier","Lower_Limit","Upper_Limit"
"01","1","0","0.9"
"02","2","1","24.9"
"03","3","25","49.9"
"04","4","50","99.9"
"05","5","100","149.9"
"06","6","150","249.9"
"07","7","250","499.9"
"08","8","500","999.9"
"09","9","1000","1999.9"
"10","10","2000","3999.9"
"11","11","4000","9999.9"
"12","12","10000","99999.9"
