"AREA","en","es","fr","ORIGINAL_CODE","PARENT"
"34_1_32","Atlantic, East central / 34.1.32","Atl EC / 34.1.32","Atl EC / 34.1.3.2","34.1.32","34_1_3"
"34_3_11","Atlantic, East central / 34.3.11","Atl EC / 34.3.11","Atl EC / 34.3.1.1","34.3.11","34_3_1"
"34_3_12","Atlantic, East central / 34.3.12","Atl EC / 34.3.12","Atl EC / 34.3.1.2","34.3.12","34_3_1"
"34_3_13","Atlantic, East central / 34.3.13","Atl EC / 34.3.13","Atl EC / 34.3.1.3","34.3.13","34_3_1"
"58_4_4_a","Indian Antarctic 58.4.4.a","Ind Antar 58.4.4.a","Ind Antar 58.4.4.a","58.4.4.a","58_4_4"
"58_4_4_b","Indian Antarctic 58.4.4.b","Ind Antar 58.4.4.b","Ind Antar 58.4.4.b","58.4.4.b","58_4_4"
"87_1_11","Pacific, Southeast / 87.1.11","Pacific, Southeast / 87.1.11","Pacific, Southeast / 87.1.11","87.1.11",
"87_1_12","Pacific, Southeast / 87.1.12","Pacific, Southeast / 87.1.12","Pacific, Southeast / 87.1.12","87.1.12",
"87_1_13","Pacific, Southeast / 87.1.13","Pacific, Southeast / 87.1.13","Pacific, Southeast / 87.1.13","87.1.13",
"87_1_14","Pacific, Southeast / 87.1.14","Pacific, Southeast / 87.1.14","Pacific, Southeast / 87.1.14","87.1.14",
"87_1_15","Pacific, Southeast / 87.1.15","Pacific, Southeast / 87.1.15","Pacific, Southeast / 87.1.15","87.1.15",
"87_1_21","Pacific, Southeast / 87.1.21","Pacific, Southeast / 87.1.21","Pacific, Southeast / 87.1.21","87.1.21",
"87_1_22","Pacific, Southeast / 87.1.22","Pacific, Southeast / 87.1.22","Pacific, Southeast / 87.1.22","87.1.22",
"87_1_23","Pacific, Southeast / 87.1.23","Pacific, Southeast / 87.1.23","Pacific, Southeast / 87.1.23","87.1.23",
"87_1_24","Pacific, Southeast / 87.1.24","Pacific, Southeast / 87.1.24","Pacific, Southeast / 87.1.24","87.1.24",
"87_1_25","Pacific, Southeast / 87.1.25","Pacific, Southeast / 87.1.25","Pacific, Southeast / 87.1.25","87.1.25",
"71-77","South Pacific Islands 71-77","South Pacific Islands 71-77","South Pacific Islands 71-77","",
"48-58-88","Southern Oceans 48-58-88","Southern Oceans 48-58-88","Southern Oceans 48-58-88","",
"87_2_11","87.2.11","87.2.11","87.2.11","87.2.11",
"87_2_12","87.2.12","87.2.12","87.2.12","87.2.12",
"87_2_13","87.2.13","87.2.13","87.2.13","87.2.13",
"87_2_14","87.2.14","87.2.14","87.2.14","87.2.14",
"87_2_15","87.2.15","87.2.15","87.2.15","87.2.15",
"87_2_16","87.2.16","87.2.16","87.2.16","87.2.16",
"87_2_17","87.2.17","87.2.17","87.2.17","87.2.17",
"87_2_21","87.2.21","87.2.21","87.2.21","87.2.21",
"87_2_22","87.2.22","87.2.22","87.2.22","87.2.22",
"87_2_23","87.2.23","87.2.23","87.2.23","87.2.23",
"87_2_24","87.2.24","87.2.24","87.2.24","87.2.24",
"87_2_25","87.2.25","87.2.25","87.2.25","87.2.25",
"87_2_26","87.2.26","87.2.26","87.2.26","87.2.26",
"87_2_27","87.2.27","87.2.27","87.2.27","87.2.27",
