ALPHA3CODE,FULL_NAME_E,FULL_NAME_F,FULL_NAME_S,SCIENTIFIC_NAME,AUTHOR
RCG,,,,Ribeiroclinus eigenmanni,Valenciennes 1836
TCE,Whiteface waspfish,,,Richardsonichthys leucogaster,(Richardson 1848)
RIL,Redside shiner,,,Richardsonius balteatus,(Richardson 1836)
RZX,,,,Ricuzenius nudithorax,Bolin 1936
BRK,Broadbodied toadfish,,,Riekertia ellisi,Smith 1952
GRF,Southern clingfish,,,Rimicola dimorpha,Briggs 1955
RIF,,,,Rineloricaria fallax,Steindachner 1915
RIN,Abyssal smooth-head,,,Rinoctes nasutus,(Koefoed 1927)
RSB,Tusked goby,,,Risor ruber,(Rosén 1911)
RRT,Rita,,,Rita rita,(Hamilton 1822)
RVY,Green rivulus,,,Rivulus cylindraceus,Poey 1860
RHX,Grey sharpnose shark,Requin aiguille gris,Cazón picudo gris,Rhizoprionodon oligolinx,Springer 1964
RHR,Caribbean sharpnose shark,Requin aiguille antillais,Cazón picudo antillano,Rhizoprionodon porosus,(Poey 1861)
RON,,,,Rhoadsia altipinna,Fowler 1911
RHM,,,,Rhodeus amarus,(Bloch 1782)
KDA,Lagoon land crab,Tourlourou des lagunes,Moro de laguna,Cardisoma armatum,(Herklots 1851)
GSQ,Lightfoot crab,Anglette commune,Abuete negro,Grapsus grapsus,(Linnaeus 1758)
ERQ,Angola marsh crab,Anglette angolaise,Abuete de Angola,Sesarma angolense,de Brito Capello 1864
OLV,Paromola,Paromole,Paromola,Paromola cuvieri,(Risso 1816)
OOK,Tufted ghost crab,Ocypode pénicillée,Capuco de mechon,Ocypode cursor,(Linnaeus 1758)
KLM,Bigfisted swimcrab,Crabe bicorne,Cangrejo tijeron,Callinectes amnicola,(De Rocheburne 1883)
KLG,Marbled swimcrab,Crabe marbré,Cangrejo jaspeado,Callinectes marginatus,(A. Milne Edwards 1861)
UNT,Long-clawed squat lobster,Galathée à longues pinces,Munida de pinzas largas,Munida tenella,Benedict 1902
ERR,Tropical mole crab,Mui-mui achiquil,Muy-muy achiquil,Emerita rathbunae,Schmitt 1935
EIA,Coldwater mole crab,Mui-mui limanche,Muy-muy limanche,Emerita analoga,(Stimpson 1857)
HJK,Pacific mole crab,Mui-mui du Pacifique,Cochito del Pacífico,Hippa pacifica,(Dana 1852)
HIQ,Striated mole crab,Mui-mui rayé,Cochito rayado,Hippa strigillata,(Stimpson 1860)
BQL,Coconut crab,,,Birgus latro,(Linnaeus 1767)
BQC,Bottlebrush crayfish,,,Barbicambarus cornutus,(Faxon 1884)
EBC,Cypress crayfish,,,Cambarellus blacki,Hobbs 1980
MBO,Appalachian brook grayfish,,,Cambarus bartonii,(Fabricius 1798)
DCS,Mimic crayfish,,,Distocambarus carlsoni,Hobbs 1983
FCB,Lavender burrowing crayfish,,,Fallicambarus byersi,(Hobbs 1941)
FXL,Ditch fencing crayfish,,,Faxonella clypeata,(Hay 1899)
HBT,Pearl riverlet crayfish,,,Hobbseus attenuatus,Black 1969
TBM,Spider cave crayfish,,,Troglocambarus maclanei,Hobbs 1942
CXJ,,,,Cherax albidus,(Riek 1951)
PQW,Shearwaters nei,,,Puffinus spp,
HKP,Argentine hake,Merlu d'Argentine,Merluza argentina,Merluccius hubbsi,Marini 1933
MNH,,,,Myersina lachneri,Hoese & Lubbock 1982
MSU,,,,Myleus pacu,(Jardine & Schomburgk 1841)
MYL,Common eagle ray,Aigle commun,Aguila marina,Myliobatis aquila,(Linnaeus 1758)
MYR,Australian bull ray,,,Myliobatis australis,Macleay 1881
MYF,Bat eagle ray,,,Myliobatis californica,Gill 1865
MYH,,,,Myliobatis chilensis,Philippi 1893
MYM,Bullnose eagle ray,Aigle de mer taureau,Águila naríz de vaca,Myliobatis freminvillei,Lesueur 1824
MYO,Southern eagle ray,,,Myliobatis goodei,Garman 1885
MYY,Purple eagle ray,,,Myliobatis hamlyni,Ogilby 1911
MKC,Venezuelan grouper,Badèche blanche,Cuna blanca,Mycteroperca cidi,Cervigón 1966
MKF,Island grouper,Mérou d'île,Mero abadejo,Mycteroperca fusca,(Lowe 1838)
MKN,Yellowmouth grouper,Badèche gueule jaune,Cuna amarilla,Mycteroperca interstitialis,(Poey 1860)
MKM,Gag,Badèche baillou,Cuna aguají,Mycteroperca microlepis,(Goode & Bean 1879)
MKH,Scamp,Badèche galopin,Cuna garopa,Mycteroperca phenax,Jordan & Swain 1884
MKR,Leopard grouper,Mérou léopard,Cabrilla sardinera,Mycteroperca rosacea,(Streets 1877)
MKT,Tiger grouper,Badèche tigre,Cuna gata,Mycteroperca tigris,(Valenciennes 1833)
MKV,Yellowfin grouper,Badèche de roche,Cuna de piedra,Mycteroperca venenosa,(Linnaeus 1758)
MTL,Spotted estuary smooth-hound,Émissole grivelée,Musola manchada,Mustelus lenticulatus,Phillipps 1932
MUU,Sicklefin smooth-hound,Émissole mamon,Musola segadora,Mustelus lunulatus,Jordan & Gilbert 1882
MTZ,Starspotted smooth-hound,Émissole étoilée,Musola celestial,Mustelus manazo,Bleeker 1854
MTE,Speckled smooth-hound,Émissole fine,Musola fina,Mustelus mento,Cope 1877
MFH,Red-banded lobster,Langoustine à bande rouge,,Metanephrops thomsoni,(Bate 1888)
MFT,Armoured lobster,,,Metanephrops armatus,Chan & Yu 1991
ISF,Bay ghost shrimp,,,Callianassa californiensis,Dana 1854
ISG,Giant ghost shrimp,,,Callianassa gigas,Dana 1852
ISJ,Japanese ghost shrimp,,,Callianassa japonica,Ortmann 1891
ISK,Pink ghost shrimp,,,Callianassa kraussi,Stebbing 1900
DME,Sleepy crab,Crabe dormeur,Cangrejo dormilon,Dromia personata,(Linnaeus 1758)
ECN,"Suckerfishes, remoras nei",Rémoras nca,"Remoras, pegas nep",Echeneidae,
BRU,Southern rays bream,,Reineta,Brama australis,Valenciennes 1838
BAB,Blackfin barracuda,,,Sphyraena qenie,Klunzinger 1870
BAN,,,,Sphyraena putnamae,Jordan & Seale 1905
NNY,,,,Nototheniops nybelini,(Balushkin 1976)
ZEO,,,,Zesticelus ochotensis,Yabe 1995
ZGP,Topknot,,,Zeugopterus punctatus,(Bloch 1787)
ZCP,Cape dory,,,Zeus capensis,Valenciennes 1835
ZIZ,Zingel,,,Zingel zingel,(Linnaeus 1766)
ZOG,,,,Zoarchias glaber,Tanaka 1908
FUA,Wracks nei,Algues fucus nca,Algas fuco nep,Fucaceae,
LAZ,Kelps nei,Varechs nca,Laminarias nep,Laminariaceae,
ZOQ,Picotee goodeid,,,Zoogoneticus quitzeoensis,(Bean 1898)
CWE,Mola rock crab,Tourteau mola,Jaiba marmola,Cancer edwardsii,Bell 1835
ZAP,Freshwater minnow,,,Zacco platypus,(Temminck & Schlegel 1846)
ZYZ,,,,Zaireichthys zonatus,Roberts 1967
ZAR,Pink seaperch,,,Zalembius rosaceus,(Jordan & Gilbert 1880)
ZAE,Roundel batfish,,,Zalieutes elater,(Jordan & Gilbert 1882)
ZAL,Longfin boarfish,,,Zanclistius elevatus,(Ramsay & Ogilby 1888)
ZSP,Antarctic horsefish,Cacique antarctique,Cacique antártico,Zanclorhynchus spinifer,Günther 1880
ZAO,Moorish idol,,,Zanclus cornutus,(Linnaeus 1758)
ZAF,Shortspine combfish,,,Zaniolepis frenata,Eigenmann & Eigenmann 1889
RZS,,,,Zanobatus schoenleinii,(Müller & Henle 1841)
ZPC,Slender mudskipper,,,Zappa confluentus,(Roberts 1978)
ZAS,Prowfish,,,Zaprora silenus,Jordan 1896
RZE,Banded guitarfish,,,Zapteryx exasperata,(Jordan & Gilbert 1880)
DZG,,,,Zathorax gonzalezi,Fernández-Yépez 1968
ZEF,Yellow tang,,,Zebrasoma flavescens,(Bennett 1828)
ZBF,,,,Zebrias fasciatus,(Basilewsky 1855)
ZBQ,Fringefin zebra sole,,,Zebrias quagga,Kaup 1858
ZBZ,Zebra sole,,,Zebrias zebra,(Bloch 1787)
ZEZ,,,,Zebrus zebrus,(Risso 1827)
HZD,,,,Zenarchopterus dispar,(Valenciennes 1847)
TZP,Argentine torpedo,,Torpedo argentina,Torpedo puelcha,Lahille 1926
SYK,,,,Scyliorhinus tokubee,"Shirai, Hagiwara & Nakaya 1992"
SYZ,Cloudy catshark,Roussette nuageuse,Alitán nubarrado,Scyliorhinus torazame,(Tanaka 1908)
SMW,Pacific spotted scorpionfish,,,Scorpaena plumieri,Jordan & Starks 1895
SOQ,Sonora scorpionfish,,,Scorpaena sonorae,Jenkins & Evermann 1889
SMQ,Cabezon,,Cabezón,Scorpaenichthys marmoratus,(Ayres 1854)
SOF,,,,Scorpaenodes africanus,Pfaff 1933
SOV,Lowfin scorpionfish,,,Scorpaenodes parvipinnis,(Garrett 1864)
SJC,Jenkin's scorpionfish,,,Scorpaenopsis cacopsis,Jenkins 1901
SJH,Weedy stingfish,,,Scorpaenopsis cirrhosa,(Thunberg 1793)
SJG,Humpbacked scorpionfish,,,Scorpaenopsis gibbosa,(Bloch & Schneider 1801)
DSH,,,,Scorpiodoras heckelii,(Kner 1855)
OIE,Sea sweep,,,Scorpis aequipinnis,Richardson 1848
OIV,Blue maomao,,,Scorpis violacea,(Hutton 1873)
SKV,Small-headed grunter,,,Scortum parviceps,(Macleay 1883)
ROO,Rosy bitterling,,,Rhodeus ocellatus,Kner 1866
ROR,Bitterling,,,Rhodeus sericeus,(Pallas 1776)
RIR,,,,Rhodichthys regina,Collett 1879
RYD,Stippled gunnel,,,Rhodymenichthys dolichogaster,(Pallas 1814)
RPU,Vermilion snapper,Vivaneau ti-yeux,Pargo cunaro,Rhomboplites aurorubens,(Cuvier 1829)
RMP,Sand flounder,,,Rhombosolea plebeia,(Richardson 1843)
