"Code","Identifier","Name_En","Name_Es","Name_Fr"
"2","251","Atlantic, Northern","Atlántico del Norte","Atlantique du Nord"
"3","252","Atlantic, Central","Atlántico central","Atlantique central"
"4","253","Atlantic, Southern","Atlántico del Sur","Atlantique du Sud"
"5","254","Indian Ocean","Océano Índico","Océan Indien"
"6","255","Pacific, Northern","Pacífico del Norte","Pacifique du Nord"
"7","256","Pacific, Central","Pacífico central","Pacifique central"
"8","257","Pacific, Southern","Pacífico del Sur","Pacifique du Sud"
"13","271","East Atlantic","Atlántico oriental","Atlantique oriental"
"14","272","West Atlantic","Atlántico occidental","Atlantique occidental"
