"Identifier","Name_En","Name_Es","Name_Fr"
"280","Upwelling marine areas","Áreas marinas de afloramiento","Zones marines ""upwelling"""
"281","Temperate marine areas","Áreas marinas templadas","Zones marines tempérées"
"282","Tropical marine areas","Áreas marinas tropicales","Zones marines tropicales"
