"Area_Size","Code","Identifier","Name_Ar","Name_Cn","Name_En","Name_Es","Name_Fr","Name_Ru"
"","5","200","المياه الداخلية","内陆水域","Inland waters","Aguas continentales","Eaux continentales","внутренние воды"
"361060000","10","201","المناطق البحرية","海域","Marine areas","Áreas marítimas","Zones maritimes","Морские районы"
