"CWP_Endorsed","CWP_Handbook_Name","Code","Identifier","Latitude_max","Latitude_min","Local_Name","Longitude_max","Longitude_min","Name_En","Name_Es","Name_Fr","Standard_Regional_Code"
"true","BANZARE Bank (Division 58.4.3)","58.4.3","632","-55","-62","","80","60","Indian Antarctic 58.4.3","Ind Antar 58.4.3","Ind Antar 58.4.3","58.4.3"
"true","Ob and Lena Banks (Division 58.4.4)","58.4.4","633","","","","","","Indian Antarctic 58.4.4","Ind Antar 58.4.4","Ind Antar 58.4.4","58.4.4"
"true","Kerguelen (Division 58.5.1)","58.5.1","634","-45","-53.23","","80","60","Indian Antarctic 58.5.1","Ind Antar 58.5.1","Ind Antar 58.5.1","58.5.1"
"true","McDonald and Heard (Division 58.5.2)","58.5.2","635","-49.4","-55","","80","60","Indian Antarctic 58.5.2","Ind Antar 58.5.2","Ind Antar 58.5.2","58.5.2"
"false","","71.6.1","636","20","5","","160","130","Pacific, West central / 71.6.1","Pac WC / 71.6.1","Pac WC / 71.6.1",""
"false","","71.6.2","637","20","5","","180","-180","Pacific, West central / 71.6.2","Pac WC / 71.6.2","Pac WC / 71.6.2",""
"false","","81.1.1","638","-28.15","-45","","155","149.89","Pacific, Southwest / 81.1.1","Pac SW / 81.1.1","Pac SW / 81.1.1",""
"false","","81.1.2","639","-25","-45","","165","155","Pacific, Southwest / 81.1.2","Pac SW / 81.1.2","Pac SW / 81.1.2",""
"true","Barents Sea - NEAFC Regulatory Area (Division 27.1.a)","27.1.a","642","","","","","","Barents Sea - NEAFC Regulatory Area (Division 27.1.a)","Mar de Barents - CPANE (División 27.1.a)","Mer de Barents - CPANE (Division 27.1.a)","27.1.a"
"true","Barents Sea Non-NEAFC Regulatory Area (Division 27.1.b)","27.1.b","643","","","","","","Barents Sea Non-NEAFC Regulatory Area (Division 27.1.b)","Mar de Barents - Non-CPANE (División  27.1.b)","Mer de Barents - non-CPANE (Division  27.1.b)","27.1.b"
"true","Azores Grounds (Division 27.10.a)","27.10.a","668","","","","","","Azores Grounds (Division 27.10.a)","Fondos de las Azores (División  27.10.a)","Fonds des Açores (Division 27.10.a)","27.10.a"
"true","Northeast Atlantic South (Division 27.10.b)","27.10.b","671","","","","","","Northeast Atlantic South (Division 27.10.b)","Fondos de las Azores (División 27.10.b)","Fonds des Açores (Division 27.10.b)","27.10.b"
"true","Southern mid-Atlantic Ridge (Division 27.12.a)","27.12.a","672","","","","","","Southern mid-Atlantic Ridge (Division 27.12.a)","Norte de las Azores (División 27.12.a)","Nord des Açores (Division 27.12.a)","27.12.a"
"true","Western Hatton Bank (Division 27.12.b)","27.12.b","677","","","","","","Western Hatton Bank (Division 27.12.b)","Norte de las Azores (División 27.12.b)","Nord des Açores (Division 27.12.b)","27.12.b"
"true","Central Northeast Atlantic - South (Division 27.12.c)","27.12.c","678","","","","","","Central Northeast Atlantic - South (Division 27.12.c)","Norte de las Azores (División 27.12.c)","Nord des Açores (Division 27.12.c)","27.12.c"
"false","","31.7.4","733","","","","","","Atlantic, West central / 31.7.4","Atl WC / 31.7.4","Atl WC / 31.7.4",""
"true","Northern Coastal (Division 87.1.1)","87.1.1","743","","","Southeast Pacific Northern Coastal Division 87.1.1","","","Pacific, Southeast / 87.1.1","Pacific, Southeast / 87.1.1","Pacific, Southeast / 87.1.1","87.1.1"
"true","Northern Intermediate (Division 87.1.2)","87.1.2","749","","","Southeast Pacific Northern Intermediate Division 87.1.2","","","Pacific, Southeast / 87.1.2","Pacific, Southeast / 87.1.2","Pacific, Southeast / 87.1.2","87.1.2"
"true","Galapagos (Division 87.1.3)","87.1.3","755","3.08","-2.83","","-87.79","-93.45","Pacific, Southeast / 87.1.3","Pacific, Southeast / 87.1.3","Pacific, Southeast / 87.1.3","87.1.3"
"true","Northern Oceanic (Division 87.1.4)","87.1.4","756","5","-18.33","Southeast Pacific Northern Oceanic Division 87.1.4","-75.84","-120","Pacific, Southeast / 87.1.4","Pacific, Southeast / 87.1.4","Pacific, Southeast / 87.1.4","87.1.4"
"true","San Felix (Division 87.2.3)","87.2.3","775","-24.84","-27.8","","-78.29","-81.65","87.2.3","87.2.3","87.2.3","87.2.3"
"true","Juan Fernandez (Division 87.2.4)","87.2.4","776","-32.15","-35.23","","-77.12","-82.42","87.2.4","87.2.4","87.2.4","87.2.4"
"true","Pascua (Division 87.2.5)","87.2.5","777","-25.71","-28.53","","-107.67","-111.03","87.2.5","87.2.5","87.2.5","87.2.5"
"true","Central Oceanic (Division 87.2.6)","87.2.6","778","-18.33","-39.33","Southeast Pacific Central Oceanic Division 87.2.6","-73.15","-120","87.2.6","87.2.6","87.2.6","87.2.6"
"true","Southern Oceanic (Division 87.3.3)","87.3.3","785","-39.33","-60","Southeast Pacific Southern Oceanic Division 87.3.3","-67.26","-120","87.33","87.33","87.33","87.3.3"
"true","Central Coastal (Division 87.2.1)","87.2.1","786","","","Southeast Pacific Central Coastal Division 87.2.1","","","Pacific, Southeast / 87.2.1","Pacific, Southeast / 87.2.1","Pacific, Southeast / 87.2.1","87.2.1"
"true","Central Intermediate (Division 87.2.2)","87.2.2","787","","","Southeast Pacific Central Intermediate Division 87.2.2","","","Pacific, Southeast / 87.2.2","Pacific, Southeast / 87.2.2","Pacific, Southeast / 87.2.2","87.2.2"
"true","Southern Coastal (Division 87.3.1)","87.3.1","788","","","Southeast Pacific Southern Coastal Division 87.3.1","","","Pacific, Southeast / 87.3.1","Pacific, Southeast / 87.3.1","Pacific, Southeast / 87.3.1","87.3.1"
"true","Southern Intermediate (Division 87.3.2)","87.3.2","789","","","Southeast Pacific Southern Intermediate Division 87.3.2","","","Pacific, Southeast / 87.3.2","Pacific, Southeast / 87.3.2","Pacific, Southeast / 87.3.2","87.3.2"
"false","","34.0.0","791","","","","","","Tunas (CECAF area)","Atunes (área CPACO)","Thons (zone COPACE)","34.0.0"
"false","","34.1.9","792","","","","","","Northern coastal, not known","Costera norte, desconocida","Côtière nord, inconnue","34.1.9"
"false","","34.2.0","793","","","","","","Northern oceanic","Oceánica norte","Océanique nord","34.2.0"
"false","","34.9.0","794","","","","","","Not known (CECAF area)","Desconocida (área CPACO)","Inconnue (zone COPACE)","34.9.0"
"false","","37.0.0","795","","","","","","Tunas (GFCM area)","Atunes (área CGPM)","Thons (zone CGPM)","37.0.0"
"false","","37.9.0","796","","","","","","Not known (GFCM area)","Desconocida (área CGPM)","Inconnue (zone CGPM)","37.9.0"
"false","","47.0.0","810","","","","","","Tunas (Atl.SE area)","Atunes (área Atl.sudor.)","Thons (zone Atl.S-E)","47.0.0"
"false","","47.1.9","811","","","","","","Western coastal, not known","Costera occidental, desconocida","Côtière occidentale, inconnue","47.1.9"
"false","","47.2.9","812","","","","","","Agulhas coastal, not known","Costera de Agulhas, desconocida","Côtière des Aiguilles, inconnue","47.2.9"
"false","","47.3.0","813","","","","","","Southern oceanic","Oceánica sur","Océanique sud","47.3.0"
"false","","47.4.0","814","","","","","","Tristan da Cunha","Tristan da Cunha","Tristan da Cunha","47.4.0"
"false","","47.5.0","815","","","","","","St Helena and Ascension","Sta Elena y Ascensión","Ste Hélène et Ascension","47.5.0"
"false","","47.9.0","816","","","","","","Not known (Atl.SE area)","Desconocida (área Atl.sudor.)","Inconnue (zone Atl.S-E)","47.9.0"
"false","","51.2.0","817","","","","","","Gulf","Golfo","Golfe","51.2.0"
"false","","51.3.1","818","","","","","","Oman Sea","Mar de Omán","Mer d'Oman","51.3.1"
"true","","47.A.0","819","","","","","","SEAFO division A.0","División SEAFO A.0","Division SEAFO A.0","47.A.0"
"true","","47.A.1","820","","","","","","SEAFO division A.1","División SEAFO A.1","Division SEAFO A.1","47.A.1"
"true","","47.B.0","821","","","","","","SEAFO division B.0","División SEAFO B.0","Division SEAFO B.0","47.B.0"
"true","","47.B.1","822","","","","","","SEAFO division B.1","División SEAFO B.1","Division SEAFO B.1","47.B.1"
"true","","47.C.0","823","","","","","","SEAFO division C.0","División SEAFO C.0","Division SEAFO C.0","47.C.0"
"true","","47.C.1","824","","","","","","SEAFO division C.1","División SEAFO C.1","Division SEAFO C.1","47.C.1"
"true","","47.D.0","825","","","","","","SEAFO division D.0","División SEAFO D.0","Division SEAFO D.0","47.D.0"
"true","","47.D.1","826","","","","","","SEAFO division D.1","División SEAFO D.1","Division SEAFO D.1","47.D.1"
"false","","51.3.2","830","","","","","","Arabian Sea, South Western","Mar arábigo, sudoccidental","Mer d'Arabie, sud-ouest","51.3.2"
