"Area_Size","CWP_Handbook_Name","Code","Identifier","Latitude_max","Latitude_min","Local_Name","Longitude_max","Longitude_min","Name_En","Name_Es","Name_Fr","Standard_Regional_Code"
"1407885","Lena Bank (Subdivision 58.4.4b)","58.4.4.b","730","-50","-62","","60","43","Indian Antarctic 58.4.4.b","Ind Antar 58.4.4.b","Ind Antar 58.4.4.b","58.4.4b"
"121167","Subdivision 87.1.11","87.1.11","744","7.21","1.39","","-77.02","-81.31","Pacific, Southeast / 87.1.11","Pacific, Southeast / 87.1.11","Pacific, Southeast / 87.1.11","87.1.11"
"109545","Subdivision 87.1.12","87.1.12","745","1.39","-3.45","","-78.79","-82.44","Pacific, Southeast / 87.1.12","Pacific, Southeast / 87.1.12","Pacific, Southeast / 87.1.12","87.1.12"
"124808","Subdivision 87.1.13","87.1.13","746","-3.45","-9.16","","-78.56","-82.77","Pacific, Southeast / 87.1.13","Pacific, Southeast / 87.1.13","Pacific, Southeast / 87.1.13","87.1.13"
"95395","Subdivision 87.1.14","87.1.14","747","-9.16","-13.91","","-76.18","-80.16","Pacific, Southeast / 87.1.14","Pacific, Southeast / 87.1.14","Pacific, Southeast / 87.1.14","87.1.14"
"125211","Subdivision 87.1.15","87.1.15","748","-13.91","-18.33","","-70.4","-77.76","Pacific, Southeast / 87.1.15","Pacific, Southeast / 87.1.15","Pacific, Southeast / 87.1.15","87.1.15"
"89898","Subdivision 87.1.21","87.1.21","750","6.31","1.39","","-78.83","-82.77","Pacific, Southeast / 87.1.21","Pacific, Southeast / 87.1.21","Pacific, Southeast / 87.1.21","87.1.21"
"91405","Subdivision 87.1.22","87.1.22","751","1.39","-3.45","","-81.31","-83.93","Pacific, Southeast / 87.1.22","Pacific, Southeast / 87.1.22","Pacific, Southeast / 87.1.22","87.1.22"
"118224","Subdivision 87.1.23","87.1.23","752","-3.45","-9.16","","-80.16","-84.22","Pacific, Southeast / 87.1.23","Pacific, Southeast / 87.1.23","Pacific, Southeast / 87.1.23","87.1.23"
"95559","Subdivision 87.1.24","87.1.24","753","-9.16","-13.91","","-77.74","-81.91","Pacific, Southeast / 87.1.24","Pacific, Southeast / 87.1.24","Pacific, Southeast / 87.1.24","87.1.24"
"111878","Subdivision 87.1.25","87.1.25","754","-13.91","-18.33","","-72.73","-79.4","Pacific, Southeast / 87.1.25","Pacific, Southeast / 87.1.25","Pacific, Southeast / 87.1.25","87.1.25"
"","","71-77","759","","","","","","South Pacific Islands 71-77","South Pacific Islands 71-77","South Pacific Islands 71-77",""
"","","48-58-88","760","","","","","","Southern Oceans 48-58-88","Southern Oceans 48-58-88","Southern Oceans 48-58-88",""
"59009","Subdivision 87.2.11","87.2.11","761","-18.33","-21.45","","-70.12","-72.73","87.2.11","87.2.11","87.2.11","87.2.11"
"82132","Subdivision 87.2.12","87.2.12","762","-21.45","-26.07","","-70.17","-72.21","87.2.12","87.2.12","87.2.12","87.2.12"
"55137","Subdivision 87.2.13","87.2.13","763","-26.07","-29.16","","-70.63","-73.08","87.2.13","87.2.13","87.2.13","87.2.13"
"52103","Subdivision 87.2.14","87.2.14","764","-29.16","-32.16","","-71.41","-73.28","87.2.14","87.2.14","87.2.14","87.2.14"
"29315","Subdivision 87.2.15","87.2.15","765","-32.16","-33.84","","-71.54","-73.58","87.2.15","87.2.15","87.2.15","87.2.15"
"40115","Subdivision 87.2.16","87.2.16","766","-33.84","-36.04","","-71.84","-74.66","87.2.16","87.2.16","87.2.16","87.2.16"
"59637","Subdivision 87.2.17","87.2.17","767","-36.04","-39.33","","-72.79","-75.35","87.2.17","87.2.17","87.2.17","87.2.17"
"70850","Subdivision 87.2.21","87.2.21","768","-18.33","-21.45","","-71.64","-75.84","87.2.21","87.2.21","87.2.21","87.2.21"
"81402","Subdivision 87.2.22","87.2.22","769","-21.45","-26.07","","-71.69","-73.79","87.2.22","87.2.22","87.2.22","87.2.22"
"54989","Subdivision 87.2.23","87.2.23","770","-26.07","-29.16","","-72.21","-74.66","87.2.23","87.2.23","87.2.23","87.2.23"
"51421","Subdivision 87.2.24","87.2.24","771","-29.16","-32.16","","-73.04","-74.88","87.2.24","87.2.24","87.2.24","87.2.24"
"29247","Subdivision 87.2.25","87.2.25","772","-32.16","-33.84","","-73.16","-75.24","87.2.25","87.2.25","87.2.25","87.2.25"
"41783","Subdivision 87.2.26","87.2.26","773","-33.84","-36.04","","-73.58","-76.7","87.2.26","87.2.26","87.2.26","87.2.26"
"56820","Subdivision 87.2.27","87.2.27","774","-36.04","-39.33","","-74.66","-77.06","87.2.27","87.2.27","87.2.27","87.2.27"
"101038","Subdivision 87.3.11","87.3.11","779","-39.33","-44.27","","-72.28","-76.25","87.3.11","87.3.11","87.3.11","87.3.11"
"81401","Subdivision 87.3.12","87.3.12","780","-43.95","-48.82","","-75.99","-79.42","87.3.12","87.3.12","87.3.12","87.3.12"
"259733","Subdivision 87.3.13","87.3.13","781","-48.82","-57.19","","-65.72","-77.57","87.3.13","87.3.13","87.3.13","87.3.13"
"76691","Subdivision 87.3.21","87.3.21","782","-39.33","-43.95","","-75.21","-78.05","87.3.21","87.3.21","87.3.21","87.3.21"
"125577","Subdivision 87.3.22","87.3.22","783","-43.79","-48.82","","-72.54","-77.51","87.3.22","87.3.22","87.3.22","87.3.22"
"201926","Subdivision 87.3.23","87.3.23","784","-48.82","-58.63","","-67.26","-79.52","87.3.23","87.3.23","87.3.23","87.3.23"
"","BANZARE Bank (Subdivision 58.4.3.a)","58.4.3.a","801","","","","","","Indian Antarctic 58.4.3.a","Ind Antar 58.4.3.a","Ind Antar 58.4.3.a","58.4.3a"
"","BANZARE Bank (Subdivision 58.4.3.b)","58.4.3.b","802","","","","","","Indian Antarctic 58.4.3.b","Ind Antar 58.4.3.b","Ind Antar 58.4.3.b","58.4.3b"
"","Skagerrak (Subdivision 27.3.a.20)","27.3.a.20","828","","","","","","Skagerrak (Subdivision 27.3.a.20)","Skagerrak (Subdivisión 27.3.a.20)","Skagerrak (Subdivision 27.3.a.20)","27.3.a.20"
"","Kattegat (Subdivision 27.3.a.21)","27.3.a.21","829","","","","","","Kattegat (Subdivision 27.3.a.21)","Kattegat (Subdivisión 27.3.a.21)","Kattegat (Subdivision 27.3.a.21)","27.3.a.21"
