"Taxonomic_Code","Identifier","Name_En","Name_Fr","Name_Es","Name_Ar","Name_Cn","Name_Ru","Scientific_Name","Author","Major_Group","Yearbook_Group","ISSCAAP_Group","CPC_Class","CPC_Group"
"1080201024","2024","Hardnose shark","Requin à nez rude","Tiburón trompudo","","","","Carcharhinus macloti","(Müller & Henle 1839)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1080201026","2025","Bignose shark","Requin babosse","Tiburón baboso","","","","Carcharhinus altimus","(Springer 1950)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1080202701","2026","Lemon shark","Requin citron","Tiburón galano","","","","Negaprion brevirostris","(Poey 1868)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"10803XXXXX","2027","Hammerhead sharks, etc. nei","Requins marteau, etc. nca","Cornudas, etc. nep","","","","Sphyrnidae","","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1080300506","2028","Scalloped hammerhead","Requin-marteau halicorne","Cornuda común","","","","Sphyrna lewini","(Griffith & Smith 1834)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"10804007XX","2029","Smooth-hounds nei","Émissoles nca","Tollos nep","","","","Mustelus spp","","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1080400707","2030","Brown smooth-hound","Émissole brune","Musola parda","كلب البحر الأملس البني","褐星鲨","","Mustelus henlei","(Gill 1863)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1080400715","2031","Starry smooth-hound","Émissole tachetée","Musola dentuda","كلب البحر الأملس مُبَقَّش","宽鼻星鲨","","Mustelus asterias","Cloquet 1821","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1080502801","2032","False catshark","Requin à longue dorsale","Musolón de aleta larga","قِرش قِط طويل الزِّعنفة الظَّهرية","小齿拟皱唇鲨","","Pseudotriakis microdon","Capello 1868","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1090100201","2033","Greenland shark","Laimargue du Groenland","Tollo de Groenlandia","","","Акула полярная атлантическая","Somniosus microcephalus","(Bloch & Schneider 1801)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
