"Taxonomic_Code","Identifier","Name_En","Name_Fr","Name_Es","Name_Ar","Name_Cn","Name_Ru","Scientific_Name","Author","Major_Group","Yearbook_Group","ISSCAAP_Group","CPC_Class","CPC_Group"
"1706233601","11781","Hawaiian dascyllus","","","","","","Dascyllus albisella","Gill 1862","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous coastal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1706233602","11782","Whitetail dascyllus","","","","","","Dascyllus aruanus","(Linnaeus 1758)","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous coastal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1100500302","11783","Southern stingray","Pastenague américaine","Raya látigo americana","","","","Dasyatis americana","Hildebrand & Schroeder 1928","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1100500303","11784","Plain maskray","","","","","","Dasyatis annotata","Last 1987","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1100500304","11785","Bennett's stingray","","","","","","Dasyatis bennetti","(Müller & Henle 1841)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1100500305","11786","Short-tail stingray","","","","","","Dasyatis brevicaudata","(Hutton 1875)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1100500306","11787","Whiptail stingray","","","","","","Dasyatis brevis","(Garman 1880)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1100500307","11788","Roughtail stingray","Pastenague des îles","Raya-látigo isleña","","","","Dasyatis centroura","(Mitchill 1815)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1100500308","11789","","","","","","","Dasyatis chrysonota","(Smith 1828)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1100500309","11790","Diamond stingray","","","","","","Dasyatis dipterura","(Jordan & Gilbert 1880)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1100500310","11791","Estuary stingray","","","","","","Dasyatis fluviorum","Ogilby 1908","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1100500311","11792","","","","","","","Dasyatis garouaensis","(Stauch & Blanc 1962)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1100500312","11793","Sharpsnout stingray","Pastenague bécune","","","","","Dasyatis geijskesi","Boeseman 1948","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1100500313","11794","","","","","","","Dasyatis giganteus","(Lindberg 1930)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1100500314","11795","Longnose stingray","Pastenague long nez","","","","","Dasyatis guttata","(Bloch & Schneider 1801)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1100500315","11796","Blue-spotted stingray","Pastenague à points bleus","","","","","Dasyatis kuhlii","(Müller & Henle 1841)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1100500317","11797","Mekong stingray","","","","","","Dasyatis laosensis","Roberts & Karnasuta 1987","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1100500318","11798","","","","","","","Dasyatis latus","Garman 1880","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1100500319","11799","Painted maskray","","","","","","Dasyatis leylandi","Last 1987","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1100500320","11800","Longtail stingray","Pastenague queue longue","Raya látigo coluda","","","","Dasyatis longa","(Garman 1880)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1100500321","11801","Daisy stingray","","","","","","Dasyatis margarita","(Günther 1870)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1100500322","11802","","","","","","","Dasyatis margaritella","Compagno & Roberts 1984","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1100500323","11803","","","","","","","Dasyatis marmorata","(Steindachner 1892)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1100500324","11804","","","","","","","Dasyatis matsubarai","Miyosi 1939","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1100500325","11805","Smalleye stingray","","","","","","Dasyatis microps","(Annandale 1908)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1100500326","11806","Common stingray","Pastenague commune","Raya látigo común","شَعْنِين بحري شائع","篮纹鱼缸","Кот морской (=хвостокол)","Dasyatis pastinaca","(Linnaeus 1758)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1100500327","11807","","","","","","","Dasyatis rudis","(Günther 1870)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1100500328","11808","Atlantic stingray","","","","","","Dasyatis sabina","(Lesueur 1824)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1100500329","11809","Bluntnose stingray","","","","","","Dasyatis say","(Lesueur 1817)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1100500330","11810","Thorntail stingray","","","","","","Dasyatis thetidis","Ogilby 1899","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1100500331","11811","Tortonese's stingray","Pastenague de Tortonese","","","","","Dasyatis tortonesei","Capapé 1975","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1100500332","11812","","","","","","","Dasyatis ukpam","(Smith 1863)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1100500333","11813","","","","","","","Dasyatis ushiei","Jordan & Hubbs 1925","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1100500334","11814","Pale-edged stingray","","","","","","Dasyatis zugei","(Müller & Henle 1841)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1781800201","11815","Spinyhead sculpin","","","","","","Dasycottus setiger","Bean 1890","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous demersal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1711501001","11816","","","","","","","Davidijordania abei","Matsubara 1936","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous demersal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1210508501","11817","Day's round herring","","","","","","Dayella malabarica","(Day 1873)","PISCES","Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1703755601","11818","Bengal corvina","","","","","","Daysciaena albida","(Cuvier 1830)","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous coastal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1090101402","11819","Rough longnose dogfish","Squale-savate rude","Tollo raspa","كلب البحر طويل الأنف خشن","粗纹田氏鲨","","Deania hystricosa","(Garman 1906)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1090101403","11820","Arrowhead dogfish","Squale-savate lutin","Tollo flecha","كلب البحر مُتيقِّظ","箭头田氏鲨","","Deania profundorum","(Smith & Radcliffe 1912)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1090101404","11821","Longsnout dogfish","Squale-savate à long nez","","","","","Deania quadrispinosa","(McCulloch 1915)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1702304302","11822","Redtail scad","Comète maouane","Macarela maouana","","","","Decapterus kurroides","Bleeker 1855","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous pelagic fishes","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1702304303","11823","Shortfin scad","Comète fine","Macarela alicorta","نيزكة رقيقة","长体圆鲹","","Decapterus macrosoma","Bleeker 1851","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous pelagic fishes","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1702304304","11824","Amberstripe scad","Comète mexicaine","","","","","Decapterus muroadsi","(Temminck & Schlegel 1844)","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous pelagic fishes","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1702304309","11825","Roughear scad","Comète queue rouge","Macarela rabo colorado","نيزكة حمراء الذيل","锯缘圆鲹","","Decapterus tabl","Berry 1968","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous pelagic fishes","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1706301101","11826","Largescale wrasse","","","","","","Decodon grandisquamis","(Smith 1968)","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous coastal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1920101001","11827","Urchin clingfish","","","","","","Dellichthys morelandi","Briggs 1955","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous coastal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1410301201","11828","","","","","","","Deltadoras guayoensis","Fernández-Yépez 1968","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous freshwater fishes","Freshwater fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1732110301","11829","Four-spotted goby","","","","","","Deltentosteus quadrimaculatus","(Valenciennes 1837)","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous coastal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1400100201","11830","Lost River sucker","","","","","","Deltistes luxatus","(Cope 1879)","PISCES","Fish, crustaceans and molluscs, etc.","Carps, barbels and other cyprinids","Freshwater fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1412800701","11831","","","","","","","Delturus angulicauda","(Steindachner 1877)","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous freshwater fishes","Freshwater fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1709500101","11832","Pennyfish","","","","","","Denariusa bandata","Whitley 1948","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous coastal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1780104904","11833","Hawaiian lionfish","","","","","","Dendrochirus barberi","(Steindachner 1900)","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous demersal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1780104902","11834","Twospot turkeyfish","Ptérois ocellé","","","","","Dendrochirus biocellatus","(Fowler 1938)","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous demersal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1780104903","11835","Shortfin turkeyfish","Ptérois nain","","","","","Dendrochirus brachypterus","(Cuvier 1829)","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous demersal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1780104901","11836","Zebra turkeyfish","Ptérois zèbre","","","","","Dendrochirus zebra","(Cuvier 1829)","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous demersal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1703751701","11837","Goatee croaker","","","","","","Dendrophysa russelii","(Cuvier 1829)","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous coastal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1630800101","11838","Mercer's tusked silverside","","","","","","Dentatherina merceri","Patten & Ivantsoff 1983","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous pelagic fishes","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1211000101","11839","","","","","","","Denticeps clupeoides","Clausen 1959","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous freshwater fishes","Freshwater fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1711501101","11840","Cuskpout","","","","","","Derepodichthys alepidotus","Gilbert 1896","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous demersal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1430100101","11841","Narrownecked oceanic eel","","","","","","Derichthys serpentinus","Gill 1884","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous demersal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1700212901","11842","Leather bass","Mérou cuir","Mero coriaceo","لُؤز جِلد","条斑鳞鲻","","Dermatolepis dermatolepis","(Boulenger 1895)","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous coastal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1580600901","11843","Fleshfish","","","","","","Dermatopsis macrodon","Ogilby 1896","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous coastal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1580601001","11844","Orange brotula","","","","","","Dermatopsoides kasougae","(Smith 1943)","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous coastal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1470300201","11845","","","","","","","Dermogenys brachynotopterus","(Bleeker 1853)","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous pelagic fishes","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1830300501","11846","Tufted sole","","","","","","Dexillus muelleri","(Steindachner 1879)","PISCES","Fish, crustaceans and molluscs, etc.","Flounders, halibuts, soles","Flatfish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1830200601","11847","Rikuzen flounder","","","","","","Dexistes rikuzenius","Jordan & Starks 1904","PISCES","Fish, crustaceans and molluscs, etc.","Flounders, halibuts, soles","Flatfish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1920101101","11848","","","","","","","Diademichthys lineatus","(Sauvage 1883)","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous coastal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1703600201","11849","Painted sweetlips","Diagramme voilier","Burro velero","","","","Diagramma pictum","(Thunberg 1792)","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous coastal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1772200401","11850","Galápagos four-eyed blenny","","","","","","Dialommus fuscus","Gilbert 1891","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous coastal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1580601101","11851","","","","","","","Diancistrus longifilis","Ogilby 1899","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous coastal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1412700301","11852","Porthole catfish","","","","","","Dianema longibarbis","Cope 1872","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous freshwater fishes","Freshwater fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1320801801","11853","","","","","","","Diaphus bertelseni","Nafpaktitis 1966","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous demersal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1320801802","11854","Short-headed lantern fish","","","","","","Diaphus brachycephalus","Tåning 1928","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous demersal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1320801803","11855","","","","","","","Diaphus dumerilii","(Bleeker 1856)","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous demersal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1320801804","11856","","","","","","","Diaphus effulgens","(Goode & Bean 1896)","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous demersal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1320801805","11857","Small lantern fish","Lanterne courte","Rafino corto","سمك قانوس صغير","大圆框灯鱼","","Diaphus holti","Tåning 1918","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous demersal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1320801806","11858","","","","","","","Diaphus lucidus","(Goode & Bean 1896)","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous demersal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1320801807","11859","Spothead lantern fish","","","","","","Diaphus metopoclampus","(Cocco 1829)","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous demersal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1320801808","11860","","","","","","","Diaphus mollis","Tåning 1928","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous demersal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1320801809","11861","","","","","","","Diaphus rafinesquii","(Cocco 1838)","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous demersal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1320801810","11862","Taaning's lantern fish","","","","","","Diaphus termophilus","Tåning 1928","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous demersal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1380107901","11863","","","","","","","Diapoma speculiferum","Cope 1894","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous freshwater fishes","Freshwater fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1570800701","11864","Gabon jewelfish","","","","","","Diapteron cyanostictum","(Lambert & Géry 1968)","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous freshwater fishes","Freshwater fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1704603701","11865","Irish mojarra","Blanche cabuche","Mojarra cagüicha","","","","Diapterus auratus","Ranzani 1842","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous coastal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1431804501","11866","Basketwork eel","Egorgé à oeil bleu","","","","","Diastobranchus capensis","Barnard 1923","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous demersal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1950500301","11867","","","","","","","Dibranchus atlanticus","Peters 1876","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous demersal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1950800801","11868","","","","","","","Diceratias bispinosus","(Günther 1887)","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous demersal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1900300401","11869","Three-barred porcupinefish","","","","","","Dicotylichthys punctulatus","Kaup 1855","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous coastal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1580203101","11870","Digitate cusk eel","Abadèche doigts","Pagador","","","","Dicrolene intronigra","Goode & Bean 1883","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous demersal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1705904801","11871","","","","","","","Dicrossus maculatus","Steindachner 1875","PISCES","Fish, crustaceans and molluscs, etc.","Tilapias and other cichlids","Freshwater fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1711001101","11872","","","","","","","Dictyosoma burgeri","Van der Hoeven 1849","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous coastal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1732108101","11873","","","","","","","Didogobius kochi","Van Tassell 1988","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous coastal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1711501301","11874","","","","","","","Dieidolycus leptodermatus","Anderson 1988","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous demersal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1705904901","11875","Malawi eyebiter","","","","","","Dimidiochromis compressiceps","(Boulenger 1908)","PISCES","Fish, crustaceans and molluscs, etc.","Tilapias and other cichlids","Freshwater fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1580601201","11876","","","","","","","Dinematichthys dasyrhynchus","Cohen & Hutchins 1982","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous coastal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1708700101","11877","","","","","","","Dinolestes lewini","(Griffith & Smith 1834)","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous coastal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1709000201","11878","Lampfish","","","","","","Dinoperca petersi","(Day 1875)","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous coastal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1411800201","11879","","","","","","","Dinotopterus atribranchus","Greenwood 1961","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous freshwater fishes","Freshwater fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1900300301","11880","Spotted porcupinefish","Porc-épic boubou","Pejerizo común","","","","Diodon hystrix","Linnaeus 1758","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous coastal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1320800401","11881","","","","","","","Diogenichthys atlanticus","(Tåning 1928)","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous demersal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1400209501","11882","Devils River minnow","","","","","","Dionda diaboli","Hubbs & Brown 1957","PISCES","Fish, crustaceans and molluscs, etc.","Carps, barbels and other cyprinids","Freshwater fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1400209502","11883","Roundnose minnow","","","","","","Dionda episcopa","Girard 1856","PISCES","Fish, crustaceans and molluscs, etc.","Carps, barbels and other cyprinids","Freshwater fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1580601301","11884","","","","","","","Diplacanthopoma japonicum","(Steindachner & Döderlein 1887)","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous demersal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1920101201","11885","Two-spotted clingfish","Lépadogastère à deux tâches","","","","","Diplecogaster bimaculata","(Bonnaterre 1788)","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous coastal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1700213102","11886","Mexican sand perch","","","","","","Diplectrum macropoma","(Günther 1864)","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous coastal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1700213103","11887","Torpedo sand perch","","","","","","Diplectrum maximum","Hildebrand 1946","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous coastal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1700213104","11888","Inshore sand perch","","","","","","Diplectrum pacificum","Meek & Hildebrand 1925","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous coastal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1700213105","11889","Pond perch","Serran des lagunes","","","","","Diplectrum radiale","(Quoy & Gaimard 1824)","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous coastal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1110200301","11890","Ocellated electric ray","","","","","","Diplobatis ommata","(Jordan & Gilbert 1890)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1110200302","11891","","","","","","","Diplobatis picta","Palmer 1950","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1431301101","11892","","","","","","","Diploconger polystigmatus","Kotthaus 1968","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous demersal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1920101301","11893","Orange clingfish","","","","","","Diplocrepis puniceus","(Richardson 1846)","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous coastal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1703903301","11894","South American silver porgy","","Sargo de América del Sur","","","","Diplodus argenteus","(Valenciennes 1830)","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous coastal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1703903310","11895","Banded seabream","","","","","","Diplodus fasciatus","(Valenciennes 1830)","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous coastal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1772000601","11896","","","","","","","Diplogrammus goramensis","(Bleeker 1858)","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous coastal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
