"Alpha3_Code","Author","Family_mapping","Identifier","IsscaapGrp_mapping","Name_Ar","Name_Cn","Name_En","Name_Es","Name_Fr","Name_Ru","Order_mapping","Scientific_Name","Sort","Taxonomic_Code","Unit"
"SDS","Cloquet 1821","TRIAKIDAE","2031","38","كلب البحر الأملس مُبَقَّش","宽鼻星鲨","Starry smooth-hound","Musola dentuda","Émissole tachetée","","CARCHARHINIFORMES","Mustelus asterias","38108006003402000","108006003402","t"
"PTM","de Brito Capello 1868","PSEUDOTRIAKIDAE","2032","38","قِرش قِط طويل الزِّعنفة الظَّهرية","小齿拟皱唇鲨","False catshark","Musolón de aleta larga","Requin à longue dorsale","","CARCHARHINIFORMES","Pseudotriakis microdon","38108003101401000","108003101401","t"
"GSK","(Bloch & Schneider 1801)","SOMNIOSIDAE","2033","38","","","Greenland shark","Tollo de Groenlandia","Laimargue du Groenland","Акула полярная атлантическая","SQUALIFORMES","Somniosus microcephalus","38109003002602000","109003002602","t"
"DGZ","","SQUALIDAE","2034","38","","","Dogfishes NEI","Mielgas NEP","Aiguillats NCA","","SQUALIFORMES","Squalus spp","38109006001800000","1090060018XX","t"
"DOP","(Macleay 1881)","SQUALIDAE","2035","38","","","Shortnose spurdog","Galludo ñato","Aiguillat nez court","","SQUALIFORMES","Squalus megalops","38109006001805000","109006001805","t"
"GUQ","(Bonnaterre 1788)","CENTROPHORIDAE","2036","38","","","Leafscale gulper shark","Quelvacho negro","Squale-chagrin de l'Atlantique","","SQUALIFORMES","Centrophorus squamosus","38109005001008000","109005001008","t"
"ETX","(Linnaeus 1758)","ETMOPTERIDAE","2037","38","قِرش فانوس شائع","黑腹鸟鲨","Velvet belly","Negrito","Sagre commun","","SQUALIFORMES","Etmopterus spinax","38109002001817000","109002001817","t"
"ETP","(Lowe 1839)","ETMOPTERIDAE","2038","38","قِرش فانوس ليِّن","光鳞鸟鲨","Smooth lanternshark","Tollo lucero liso","Sagre nain","","SQUALIFORMES","Etmopterus pusillus","38109002001814000","109002001814","t"
"CYO","Bocage & Capello 1864","SOMNIOSIDAE","2039","38","كلب البحر برتغالي شائع","腔鳞荆鲨","Portuguese dogfish","Pailona","Pailona commun","Акула португальская","SQUALIFORMES","Centroscymnus coelolepis","38109003001001000","109003001001","t"
"CYP","(Bocage & Capello 1864)","SOMNIOSIDAE","2040","38","كلب البحر برتغالي ذو منقار طويل","长吻荆鲨","Longnose velvet dogfish","Sapata negra","Pailona à long nez","Акула длинноносая белоглазая","SQUALIFORMES","Centroselachus crepidater","38109003001401000","109003001401","t"
