"Alpha3_Code","Author","Family_mapping","Identifier","IsscaapGrp_mapping","Name_Ar","Name_Cn","Name_En","Name_Es","Name_Fr","Name_Ru","Order_mapping","Scientific_Name","Sort","Taxonomic_Code","Unit"
"CDW","Annandale 1918","CHAUDHURIIDAE","11290","13","","","Burmese spineless eel","","","","SYNBRANCHIFORMES","Chaudhuria caudata","13153102101401000","153102101401","t"
"CUD","Regan & Trewavas 1929","STOMIIDAE","11291","34","","","Dana viperfish","","","","STOMIIFORMES","Chauliodus danae","34145104102601000","145104102601","t"
"CDN","Bloch & Schneider 1801","STOMIIDAE","11292","34","","","Sloane's viperfish","","","","STOMIIFORMES","Chauliodus sloani","34145104102604000","145104102604","t"
"CXE","Günther 1862","CHAUNACIDAE","11293","34","","","","","","","LOPHIIFORMES","Chaunax abei","34185010101401000","185010101401","t"
"HIF","(Bloch 1791)","LABRIDAE","11294","33","","","Redbreasted wrasse","","","","LABRIFORMES (LABROIDEI)","Cheilinus fasciatus","33179702105002000","179702105002","t"
"HUU","Lacépède 1801","LABRIDAE","11295","33","","","Tripletail wrasse","","Vieille triple queue","","LABRIFORMES (LABROIDEI)","Cheilinus trilobatus","33179702105004000","179702105004","t"
"ILN","(Forsskål 1775)","LABRIDAE","11296","33","","","Cigar wrasse","","Longue girelle","","LABRIFORMES (LABROIDEI)","Cheilio inermis","33179702105401000","179702105401","t"
"HHH","(Trewavas 1935)","CICHLIDAE","11297","12","","","","","","","CICHLIFORMES","Cheilochromis euchilus","12160102115401000","160102115401","t"
"EIS","(Hutton 1872)","LATRIDAE","11298","34","","","Red moki","","","","CENTRARCHIFORMES","Chirodactylus spectabilis","34179521101004000","179521101004","t"
"EII","(Garrett 1864)","LATRIDAE","11299","34","","","Hawaiian morwong","","","","CENTRARCHIFORMES","Goniistius vittatus","34179521101801000","179521101801","t"
"EIZ","(Döderlein 1883)","LATRIDAE","11300","34","","","Redlip morwong","","","","CENTRARCHIFORMES","Goniistius zebra","34179521101802000","179521101802","t"
"EIN","(Cuvier 1830)","LATRIDAE","11301","34","","","Spottedtail morwong","","","","CENTRARCHIFORMES","Goniistius zonatus","34179521101803000","179521101803","t"
"HDA","Gon 1993","APOGONIDAE","11302","33","","","","","","","GOBIIFORMES","Cheilodipterus alleni","33150102103401000","150102103401","t"
"ECF","(Mitchill 1815)","EXOCOETIDAE","11303","37","","","Spotfin flyingfish","","Exocet tacheté","","BELONIFORMES","Cheilopogon furcatus","37156805101005000","156805101005","t"
"ECE","(Rafinesque 1810)","EXOCOETIDAE","11304","37","","","Mediterranean flyingfish","Juriola","Exocet méditerranéen","","BELONIFORMES","Cheilopogon heterurus","37156805101006000","156805101006","t"
"ECG","(Bennett 1840)","EXOCOETIDAE","11305","37","","","Blacksail flyingfish","","Exocet africain","","BELONIFORMES","Cheilopogon nigricans","37156805101009000","156805101009","t"
"ECS","(Valenciennes 1847)","EXOCOETIDAE","11306","37","","","Manyspotted flyingfish","","","","BELONIFORMES","Cheilopogon spilopterus","37156805101011000","156805101011","t"
"ECJ","(Whitley & Colefax 1938)","EXOCOETIDAE","11307","37","","","Sutton's flyingfish","","Exocet de Sutton","","BELONIFORMES","Cheilopogon suttoni","37156805101012000","156805101012","t"
"LNT","(Day 1877)","POMACENTRIDAE","11308","33","","","Big-lip damsel","","","","BLENNIIFORMES","Cheiloprion labiatus","33167003103401000","167003103401","t"
"HIS","(Girard 1858)","SCIAENIDAE","11309","33","","","Black croaker","","","","ACANTHURIFORMES","Cheilotrema saturnum","33182006105001000","182006105001","t"
"IHV","Haast 1874","CHEIMARRICHTHYIDAE","11310","33","","","Torrent fish","","","","LABRIFORMES (URANOSCOPOIDEI)","Cheimarrichthys fosterae","33179808101001000","179808101001","t"
"HCB","(Schultz 1944)","PIMELODIDAE","11311","13","","","","","","","SILURIFORMES","Cheirocerus abuelo","13141025103001000","141025103001","t"
"CDU","Girard 1855","CHARACIDAE","11312","13","","","","","","","CHARACIFORMES","Cheirodon pisciculus","13140324104201000","140324104201","t"
"HEU","(Hamilton 1822)","DANIONIDAE","11313","11","","","","","","","CYPRINIFORMES","Chela cachius","11140016103001000","140016103001","t"
"HEO","(Hamilton 1822)","DANIONIDAE","11314","11","","","Indian glass barb","","","","CYPRINIFORMES","Laubuka laubuca","11140016106601000","140016106601","t"
"HEY","(Joannis 1835)","DANIONIDAE","11315","11","","","","","","","CYPRINIFORMES","Chelaethiops bibie","11140016103401000","140016103401","t"
"CGY","(Poll & Roux 1955)","TRIGLIDAE","11316","34","","","Gabon gurnard","","","","PERCIFORMES (SCORPAENOIDEI)","Chelidonichthys gabonensis","34172520101403000","172520101403","t"
"CTZ","(Bonnaterre 1788)","TRIGLIDAE","11317","34","","","Streaked gurnard","Rubio","Grondin camard","","PERCIFORMES (SCORPAENOIDEI)","Chelidonichthys lastoviza","34172520101405000","172520101405","t"
"CZS","(McClelland 1844)","TRIGLIDAE","11318","34","","","Spiny red gurnard","","","","PERCIFORMES (SCORPAENOIDEI)","Chelidonichthys spinosus","34172520101409000","172520101409","t"
"HDD","(Valenciennes 1831)","SERRANIDAE","11319","33","","","","","","","PERCIFORMES (PERCOIDEI)","Chelidoperca hirundinacea","33170001101402000","170001101402","t"
"HLJ","(Klunzinger 1880)","CHAETODONTIDAE","11320","33","","","Blackfin coralfish","","","","ACANTHURIFORMES","Chelmon muelleri","33182016102201000","182016102201","t"
"HNT","(Linnaeus 1758)","CHAETODONTIDAE","11321","33","","","Copperband butterflyfish","","","","ACANTHURIFORMES","Chelmon rostratus","33182016102202000","182016102202","t"
"HNK","(Kner 1858)","CHAETODONTIDAE","11322","33","","","Truncate coralfish","","","","ACANTHURIFORMES","Chelmonops truncatus","33182016102601000","182016102601","t"
"MBP","(Bowdich 1825)","MUGILIDAE","11323","33","","","","","","","MUGILIFORMES","Chelon bispinosus","33165001102602000","165001102602","t"
"MLR","(Risso 1827)","MUGILIDAE","11324","33","","","Thicklip grey mullet","","Mulet lippu","","MUGILIFORMES","Chelon labrosus","33165001102604000","165001102604","t"
"MPK","Senou, Randall & Okiyama 1996","MUGILIDAE","11325","33","","","Persian mullet","","","","MUGILIFORMES","Chelon persicus","33165001102607000","165001102607","t"
"KHP","(Hamilton 1822)","TETRAODONTIDAE","11326","33","","","Milkspotted puffer","","","","TETRAODONTIFORMES","Chelonodontops patoca","33190006103001000","190006103001","t"
"CED","Kottelat & Lim 1994","CHAUDHURIIDAE","11327","13","","","","","","","SYNBRANCHIFORMES","Chendol keelini","13153102101801000","153102101801","t"
"CTW","Mees 1964","SYNANCEIIDAE","11328","33","","","","","","","PERCIFORMES (SCORPAENOIDEI)","Cheroscorpaena tridactyla","33172522104601000","172522104601","t"
"OCL","(Gilbert 1890)","OPHIDIIDAE","11329","34","","","Black brotula","","","","OPHIDIIFORMES","Cherublemma emmelas","34149802005001000","149802005001","t"
"HTV","Trewavas 1961","CICHLIDAE","11330","12","","","Canary kurper","","","","CICHLIFORMES","Chetia flaviventris","12160102115801000","160102115801","t"
"OCY","(Girard 1858)","OPHIDIIDAE","11332","34","","","Spotted cusk-eel","","","","OPHIDIIFORMES","Chilara taylori","34149802005401000","149802005401","t"
"CTX","Allen 1979","MELANOTAENIIDAE","11333","13","","","Axelrod's rainbowfish","","","","ATHERINIFORMES","Chilatherina axelrodi","13156503101401000","156503101401","t"
"HCN","Boulenger 1902","CICHLIDAE","11334","12","","","","","","","CICHLIFORMES","Chilochromis duponti","12160102116201000","160102116201","t"
"HCS","(Wade 1946)","CONGRIDAE","11335","34","","","","","","","ANGUILLIFORMES","Paraconger similis","34120021109004000","120021109004","t"
"COF","Vari & Ortega 1997","CHILODONTIDAE","11336","13","","","","","","","CHARACIFORMES","Chilodus fritillus","13140313101401000","140313101401","t"
"GLB","Boulenger 1904","MOCHOKIDAE","11337","13","","","","","","","SILURIFORMES","Chiloglanis batesii","13141037101801000","141037101801","t"
"HKA","(Linnaeus 1758)","DIODONTIDAE","11338","33","","","Pacific burrfish","","","","TETRAODONTIFORMES","Chilomycterus reticulatus","33190005101402000","190005101402","t"
"ACP","(Norman 1922)","CHLOPSIDAE","11339","33","","","Flatnose xenocongrid eel","","","","ANGUILLIFORMES","Chilorhinus platyrhynchus","33120001101001000","120001101001","t"
"ORA","Gubanov 1980","HEMISCYLLIIDAE","11340","38","قِرش-قُدّ عربي","阿拉伯斑竹鲨","Arabian carpetshark","Bamboa arábiga","Requin-chabot camot","","ORECTOLOBIFORMES","Chiloscyllium arabicum","38105105001001000","105105001001","t"
"ORP","Pellegrin 1914","HEMISCYLLIIDAE","11341","38","قِرش-قُدّ ذو بُقع زرقاء","篮点斑竹鲨","Bluespotted bambooshark","Bamboa estrellada","Requin-chabot à taches bleues","","ORECTOLOBIFORMES","Chiloscyllium caeruleopunctatum","38105105001003000","105105001003","t"
"ORR","Müller & Henle 1838","HEMISCYLLIIDAE","11342","38","قِرش-قُدذ رمادي","灰斑竹鲨","Grey bambooshark","Bamboa gris","Requin-chabot gris","","ORECTOLOBIFORMES","Chiloscyllium griseum","38105105001004000","105105001004","t"
"ORI","(Gmelin 1789)","HEMISCYLLIIDAE","11343","38","قرش-قدّ أنيق","印度斑竹鲨","Slender bambooshark","Bamboa elegante","Requin-chabot élégant","","ORECTOLOBIFORMES","Chiloscyllium indicum","38105105001006000","105105001006","t"
"ORH","(Anonymous [Bennett] 1830)","HEMISCYLLIIDAE","11344","38","قرش-قدّ بُقَع بيضاء","条纹斑竹鲨","Whitespotted bambooshark","Bamboa punteada","Requin-chabot taches blanches","","ORECTOLOBIFORMES","Chiloscyllium plagiosum","38105105001007000","105105001007","t"
"ORB","Müller & Henle 1838","HEMISCYLLIIDAE","11345","38","قِرش-قُدّ خيزُران","点纹斑竹鲨","Brownbanded bambooshark","Bamboa estriada","Requin-chabot bambou","","ORECTOLOBIFORMES","Chiloscyllium punctatum","38105105001008000","105105001008","t"
"HHO","Boulenger 1908","CICHLIDAE","11346","12","","","","","","","CICHLIFORMES","Chilotilapia rhoadesii","12160102116601000","160102116601","t"
"CMU","Howell Rivero 1936","CHIMAERIDAE","11347","38","","","","","","","CHIMAERIFORMES","Chimaera cubana","38112002001002000","112002001002","t"
"CMS","Tanaka 1905","CHIMAERIDAE","11348","38","","","","","","","CHIMAERIFORMES","Chimaera jordani","38112002001004000","112002001004","t"
"CMW","Tanaka 1905","CHIMAERIDAE","11349","38","","","","","","","CHIMAERIFORMES","Chimaera owstoni","38112002001009000","112002001009","t"
"CMH","Jordan & Snyder 1900","CHIMAERIDAE","11350","38","","","Silver chimaera","","","","CHIMAERIFORMES","Chimaera phantasma","38112002001010000","112002001010","t"
"CHW","Andriashev & Neelov 1978","CHANNICHTHYIDAE","11351","34","","","","","","","PERCIFORMES (NOTOTHENIOIDEI)","Chionobathyscus dewitti","34171517103001000","171517103001","t"
"HRV","(Rao 1971)","GOBIIDAE","11352","13","","","","","","","GOBIIFORMES","Awaous fluviatilis","13150109107002000","150109107002","t"
"CBK","(Poey 1867)","PRISTIGASTERIDAE","11353","35","","","Dogtooth herring","Arenquillo dentón","Poisson-papier dentu","","CLUPEIFORMES","Chirocentrodon bleekerianus","35121007101001000","121007101001","t"
"CNU","(Swainson 1839)","CHIROCENTRIDAE","11354","35","رنكة ثعلب أبيض الأجنحة","长颌宝刀鱼","Whitefin wolf-herring","Arencón de aleta blanca","Chirocentre sabre","","CLUPEIFORMES","Chirocentrus nudus","35121005101002000","121005101002","t"
"IRB","(Cuvier 1830)","LATRIDAE","11355","34","","","Two-tone fingerfin","","","","CENTRARCHIFORMES","Chirodactylus brachydactylus","34179521101001000","179521101001","t"
"IRG","(Günther 1860)","LATRIDAE","11356","34","","","Bank steenbras","","","","CENTRARCHIFORMES","Chirodactylus grandis","34179521101002000","179521101002","t"
"IRJ","Smith 1980","LATRIDAE","11357","34","","","Natal fingerfin","","","","CENTRARCHIFORMES","Chirodactylus jessicalenorum","34179521101003000","179521101003","t"
"HIN","(Jordan & Williams 1895)","STICHAEIDAE","11358","33","","","Mosshead warbonnet","","","","PERCIFORMES (ZOARCOIDEI)","Chirolophis nugator","33175547102602000","175547102602","t"
"HIG","Cuvier 1829","CHIRONEMIDAE","11359","33","","","Tasseled kelpfish","","","","CENTRARCHIFORMES","Chironemus georgianus","33179518101001000","179518101001","t"
"CXU","Regan & Trewavas 1932","ONEIRODIDAE","11360","34","","","","","","","LOPHIIFORMES","Chirophryne xenolophus","34185016101801000","185016101801","t"
"KRE","de Buen 1945","ATHERINOPSIDAE","11361","13","","","","","","","ATHERINIFORMES","Chirostoma estor","13156511102601000","156511102601","t"
"SIO","Regan & Trewavas 1930","STOMIIDAE","11363","34","","","","","","","STOMIIFORMES","Chirostomias pliopterus","34145104103001000","145104103001","t"
"NCC","(Hamilton 1822)","NOTOPTERIDAE","11364","13","","","Clown knifefish","","","","OSTEOGLOSSIFORMES","Chitala chitala","13117804101002000","117804101002","t"
"CQZ","(Steindachner 1876)","PSYCHROLUTIDAE","11365","33","","","Roughback sculpin","","","","PERCIFORMES (COTTOIDEI)","Chitonotus pugetensis","33173535105801000","173535105801","t"
"HBV","(Hoese 1991)","GOBIIDAE","11366","13","","","","","","","GOBIIFORMES","Chlamydogobius gloveri","13150109114601000","150109114601","t"
"HXC","Garman 1884","CHLAMYDOSELACHIDAE","11367","38","قِرش جِِلد العِظايَة","裙边皮鳃鲨","Frilled shark","Tiburón anguila","Requin lézard","","HEXANCHIFORMES","Chlamydoselachus anguineus","38103103001002000","103103001002","t"
"CDB","(Smith 1954)","PSEUDOCHROMIDAE","11368","33","","","Nosey dottyback","","","","BLENNIIFORMES","Chlidichthys bibulus","33167001101801000","167001101801","t"
"ACD","(Seale 1917)","CHLOPSIDAE","11369","33","","","Mottled false moray","","","","ANGUILLIFORMES","Chlopsis dentatus","33120001101401000","120001101401","t"
"CUF","Hiyama 1940","CHLOROPHTHALMIDAE","11370","34","","","","","","","AULOPIFORMES","Chlorophthalmus acutifrons","34145502101401000","145502101401","t"
"HSO","Jordan & Gilbert 1883","CARANGIDAE","11371","37","مِصدام المحيط الهادئ","太平洋鲭鯵","Pacific bumper","Casabe orqueta","Sapater du Pacifique","","CARANGIFORMES (CARANGOIDEI)","Chloroscombrus orqueta","37155628104602000","155628104602","t"
"UUG","(Rüppell 1829)","LABRIDAE","11372","33","","","Heavybeak parrotfish","","Perroquet mâchoiron","","LABRIFORMES (LABROIDEI)","Chlorurus gibbus","33179702105806000","179702105806","t"
"UUS","(Forsskål 1775)","LABRIDAE","11373","33","","","Daisy parrotfish","","Perroquet marguerite","","LABRIFORMES (LABROIDEI)","Chlorurus sordidus","33179702105809000","179702105809","t"
"OEZ","(Jordan & Snyder 1901)","LABRIDAE","11374","33","","","","","","","LABRIFORMES (LABROIDEI)","Choerodon azurio","33179702106202000","179702106202","t"
"ODJ","(Valenciennes 1839)","LABRIDAE","11375","33","","","Blackspot tuskfish","","","","LABRIFORMES (LABROIDEI)","Choerodon schoenleinii","33179702106204000","179702106204","t"
"CBJ","(Bleeker 1855)","SYNGNATHIDAE","11376","33","","","Short-bodied pipefish","","","","SYNGNATHIFORMES","Choeroichthys brachysoma","33151010103801000","151010103801","t"
"AYC","Agassiz 1853","AMBLYOPSIDAE","11377","13","","","Swampfish","","","","PERCOPSIFORMES","Chologaster cornuta","13147103001001000","147103001001","t"
"HOG","(Bonaparte 1839)","LEUCISCIDAE","11378","11","","","","","","","CYPRINIFORMES","Protochondrostoma genei","11140023124601000","140023124601","t"
"HON","(Linnaeus 1758)","LEUCISCIDAE","11379","11","سمكة شبّوط شائعة","软口鱼","Common nase","Condrostoma común","Nase commun","","CYPRINIFORMES","Chondrostoma nasus","11140023105801000","140023105801","t"
"HOY","(Steindachner 1864)","LEUCISCIDAE","11380","11","","","Iberian nase","","","","CYPRINIFORMES","Pseudochondrostoma polylepis","11140023125401000","140023125401","t"
"HOS","Bonaparte 1840","LEUCISCIDAE","11381","11","","","","","","","CYPRINIFORMES","Chondrostoma soetta","11140023105802000","140023105802","t"
"HOX","(Vallot 1837)","LEUCISCIDAE","11382","11","","","","","","","CYPRINIFORMES","Parachondrostoma toxostoma","11140023120602000","140023120602","t"
"KHA","(Roberts 1982)","TETRAODONTIDAE","11383","33","","","","","","","TETRAODONTIFORMES","Auriglobus amabilis","33190006101801000","190006101801","t"
"HFP","(Bleeker 1867)","GOBIIDAE","11384","13","","","","","","","GOBIIFORMES","Awaous macrorhynchus","13150109107004000","150109107004","t"
"HCI","Richardson 1848","SYNANCEIIDAE","11385","33","","","Orangebanded stingfish","","","","PERCIFORMES (SCORPAENOIDEI)","Choridactylus multibarbus","33172522105001000","172522105001","t"
"GCX","(Pallas 1769)","GOBIESOCIDAE","11386","33","","","Rocksucker","","","","BLENNIIFORMES","Chorisochismus dentex","33167007103401000","167007103401","t"
"HCE","Goode & Bean 1882","HEMIRAMPHIDAE","11387","37","","","Hardhead halfbeak","","","","BELONIFORMES","Chriodorus atherinoides","37156803101401000","156803101401","t"
"HFS","Herre 1942","GOBIIDAE","11388","33","","","","","","","GOBIIFORMES","Chriolepis fisheri","33150109115001000","150109115001","t"
"CJH","McKay 1971","BEMBROPIDAE","11389","33","","","","","","","PERCIFORMES (PERCOIDEI)","Chrionema chlorotaenia","33170009101401000","170009101401","t"
"HRB","(Boulenger 1901)","CICHLIDAE","11390","12","","","","","","","CICHLIFORMES","Benitochromis batesii","12160102109401000","160102109401","t"
"HSS","(Cuvier 1830)","POMACENTRIDAE","11391","33","","","Yellow chromis","","","","BLENNIIFORMES","Chromis analis","33167003103801000","167003103801","t"
"CMK","(Linnaeus 1758)","POMACENTRIDAE","11392","33","","","Damselfish","Castañuela","Castagnole","","BLENNIIFORMES","Chromis chromis","33167003103803000","167003103803","t"
"HUR","(Valenciennes 1833)","POMACENTRIDAE","11393","33","","","Valparaiso chromis","","","","BLENNIIFORMES","Chromis crusma","33167003103804000","167003103804","t"
"HRC","(Evermann & Radcliffe 1917)","POMACENTRIDAE","11394","33","","","Peruvian chromis","","","","BLENNIIFORMES","Azurina intercrusma","33167003103002000","167003103002","t"
"HRJ","(Cooper 1863)","POMACENTRIDAE","11395","33","","","Blacksmith","","","","BLENNIIFORMES","Chromis punctipinnis","33167003103807000","167003103807","t"
"CBQ","(Steindachner 1863)","GOBIIDAE","11396","33","","","Chestnut goby","","Gobie à quatre bandes","","GOBIIFORMES","Chromogobius quadrivittatus","33150109115401000","150109115401","t"
"BCY","(Geoffroy St. Hilaire 1808-1809)","CLAROTEIDAE","11397","13","","","","","","","SILURIFORMES","Chrysichthys auratus","13141039101801000","141039101801","t"
"BCR","Boulenger 1900","CLAROTEIDAE","11398","13","","","Kibonde","","","","SILURIFORMES","Chrysichthys brachynema","13141039101802000","141039101802","t"
"BCI","(Leach 1818)","CLAROTEIDAE","11399","13","","","Kokuni","","","","SILURIFORMES","Chrysichthys cranchii","13141039101803000","141039101803","t"
"BCG","Boulenger 1917","CLAROTEIDAE","11400","13","","","Kukumai","","","","SILURIFORMES","Chrysichthys grandis","13141039101805000","141039101805","t"
"BCN","(Boulenger 1899)","CLAROTEIDAE","11401","13","","","Aluminum catfish","","","","SILURIFORMES","Chrysichthys longipinnis","13141039101806000","141039101806","t"
"BCS","Boulenger 1905","CLAROTEIDAE","11402","13","","","","","","","SILURIFORMES","Chrysichthys mabusi","13141039101807000","141039101807","t"
"BCT","(Valenciennes 1840)","CLAROTEIDAE","11403","13","","","","","","","SILURIFORMES","Chrysichthys maurus","13141039101808000","141039101808","t"
"BCJ","Boulenger 1902","CLAROTEIDAE","11404","13","","","Ornate bagrid","","","","SILURIFORMES","Chrysichthys ornatus","13141039101810000","141039101810","t"
"HRK","(Quoy & Gaimard 1825)","POMACENTRIDAE","11405","33","","","Twinspot damselfish","","","","BLENNIIFORMES","Chrysiptera biocellata","33167003104201000","167003104201","t"
"HSJ","(Allen 1973)","POMACENTRIDAE","11406","33","","","Blueline demoiselle","","","","BLENNIIFORMES","Chrysiptera caeruleolineata","33167003104202000","167003104202","t"
"YSR","(Greenfield & Hensley 1970)","POMACENTRIDAE","11407","33","","","Easter damselfish","","","","BLENNIIFORMES","Chrysiptera rapanui","33167003104203000","167003104203","t"
"HRR","(Richardson 1846)","SCIAENIDAE","11408","33","","","Reeve's croaker","","","","ACANTHURIFORMES","Chrysochir aurea","33182006105401000","182006105401","t"
"IHT","Humboldt 1821","CICHLIDAE","11409","12","","金目丽鱼","Speckled pavon","","","","CICHLIFORMES","Cichla temensis","12160102117805000","160102117805","t"
"IHE","(Jordan 1889)","CICHLIDAE","11410","12","","","Green guapote","","","","CICHLIFORMES","Mayaheros beani","12160102145001000","160102145001","t"
"IHI","(Linnaeus 1758)","CICHLIDAE","11411","12","","","Black acara","","","","CICHLIFORMES","Cichlasoma bimaculatum","12160102118201000","160102118201","t"
"IHY","Baird & Girard 1854","CICHLIDAE","11412","12","","","Rio Grande cichlid","","","","CICHLIFORMES","Herichthys cyanoguttatus","12160102135401000","160102135401","t"
"IHF","(Jenyns 1842)","CICHLIDAE","11413","12","","","Chameleon cichlid","","","","CICHLIFORMES","Australoheros facetus","12160102108201000","160102108201","t"
"IHS","(Jordan & Snyder 1899)","CICHLIDAE","11414","12","","","","","","","CICHLIFORMES","Amphilophus istlanus","12160102103002000","160102103002","t"
"IHN","(Günther 1867)","CICHLIDAE","11415","12","","","Convict cichlid","","","","CICHLIFORMES","Amatitlania nigrofasciata","12160102102601000","160102102601","t"
"IHC","(Regan 1903)","CICHLIDAE","11416","12","","","Jack Dempsey","","","","CICHLIFORMES","Rocio octofasciata","12160102163401000","160102163401","t"
"LCM","(Linnaeus 1758)","GAIDROPSARIDAE","11417","32","","","Fivebeard rockling","","Motelle à cinq barbillons","","GADIFORMES","Ciliata mustela","32148003101001000","148003101001","t"
"GCS","(Collett 1875)","GAIDROPSARIDAE","11418","32","","","Northern rockling","","Motelle nordique","","GADIFORMES","Ciliata septentrionalis","32148003101002000","148003101002","t"
"DUF","(Ramsay & Ogilby 1886)","ARIIDAE","11419","33","","","Smallmouthed salmon catfish","","","","SILURIFORMES","Cinetodus froggatti","33141029105001000","141029105001","t"
"CHZ","(Merrett 1973)","SQUALIDAE","11420","38","","","Roughskin spurdog","","Aiguillat à peau rugueuse","","SQUALIFORMES","Cirrhigaleus asper","38109006001001000","109006001001","t"
"CHF","Tanaka 1912","SQUALIDAE","11421","38","كلب البحر شارب","鼻须角鲨","Mandarin dogfish","Tollo mandarín","Squale moustache","","SQUALIFORMES","Cirrhigaleus barbifer","38109006001002000","109006001002","t"
"CJE","Randall 1988","LABRIDAE","11422","33","","","Girdled wrasse","","","","LABRIFORMES (LABROIDEI)","Cirrhilabrus balteatus","33179702106602000","179702106602","t"
"CXQ","Smith 1957","LABRIDAE","11423","33","","","Exquisite wrasse","","","","LABRIFORMES (LABROIDEI)","Cirrhilabrus exquisitus","33179702106603000","179702106603","t"
"AOI","(Smith 1962)","OPHICHTHIDAE","11424","33","","","Inhaca fringelip","","","","ANGUILLIFORMES","Cirrhimuraena inhacae","33120018104601000","120018104601","t"
"RNR","(Bloch 1795)","CYPRINIDAE","11425","11","","","","","","","CYPRINIFORMES","Cirrhinus cirrhosus","11140014110601000","140014110601","t"
"RNM","Sauvage 1878","CYPRINIDAE","11426","11","","","Small scale mud carp","","","Циррина ильная мелкочешуйчатая","CYPRINIFORMES","Cirrhinus microlepis","11140014110602000","140014110602","t"
"RNE","(Hamilton 1822)","CYPRINIDAE","11427","11","","","Reba carp","","","","CYPRINIFORMES","Cirrhinus reba","11140014110605000","140014110605","t"
"IRA","(Cuvier 1829)","CIRRHITIDAE","11428","33","","","Spotted hawkfish","","Épervier à taches rouges","","CENTRARCHIFORMES","Cirrhitichthys aprinus","33179517101401000","179517101401","t"
"IRX","(Bleeker 1855)","CIRRHITIDAE","11429","33","","","Coral hawkfish","","Épervier à points rouges","","CENTRARCHIFORMES","Cirrhitichthys oxycephalus","33179517101402000","179517101402","t"
"IRF","(Bennett 1828)","CIRRHITIDAE","11430","33","","","Redbarred hawkfish","","Épervier rayé","","CENTRARCHIFORMES","Cirrhitops fasciatus","33179517102201000","179517102201","t"
"IRV","Valenciennes 1846","CIRRHITIDAE","11431","33","","","Giant hawkfish","","Épervier géant","","CENTRARCHIFORMES","Cirrhitus rivulatus","33179517102602000","179517102602","t"
"OPC","Smith & Radcliffe 1913","PARASCYLLIIDAE","11432","38","قِرش بِساط ذو شارب","橙黄鲨","Barbelthroat carpetshark","Alfombrera barbuda","Requin carpette à moustache","","ORECTOLOBIFORMES","Cirrhoscyllium expolitum","38105102001001000","105102001001","t"
"OPF","Teng 1959","PARASCYLLIIDAE","11433","38","قِرش بِساط أَسرج طايوان","台湾橙黄鲨","Taiwan saddled carpetshark","Alfombrera de Taiwan","Requin carpette chin","","ORECTOLOBIFORMES","Cirrhoscyllium formosanum","38105102001002000","105102001002","t"
"OPJ","Kamohara 1943","PARASCYLLIIDAE","11434","38","قِرش بِساط سَرْج","日本橙黄鲨","Saddle carpetshark","Alfombrera japonesa","Requin carpette chat","","ORECTOLOBIFORMES","Cirrhoscyllium japonicum","38105102001003000","105102001003","t"
"AOJ","Schultz 1953","OPHICHTHIDAE","11435","33","","","","","","","ANGUILLIFORMES","Cirricaecula johnsoni","33120018105001000","120018105001","t"
"AMF","Chen & Shao 1995","MURAENIDAE","11436","33","","","","","","","ANGUILLIFORMES","Cirrimaxilla formosa","33120015101801000","120015101801","t"
"IRL","(Ogilby 1899)","BLENNIIDAE","11437","33","","","","","","","BLENNIIFORMES","Cirripectes alboapicalis","33167009106201000","167009106201","t"
"IYR","Goode 1880","CYCLOPSETTIDAE","11438","31","","","Gulf Stream flounder","","","","CARANGIFORMES (PLEURONECTOIDEI)","Citharichthys arctifrons","31155209101001000","155209101001","t"
"IYE","Evermann & Marsh 1900","CYCLOPSETTIDAE","11439","31","","","Sand whiff","","","","CARANGIFORMES (PLEURONECTOIDEI)","Citharichthys arenaceus","31155209101002000","155209101002","t"
"IYI","Jenkins & Evermann 1889","CYCLOPSETTIDAE","11440","31","","","Bigmouth sanddab","","","","CARANGIFORMES (PLEURONECTOIDEI)","Citharichthys gilberti","31155209101003000","155209101003","t"
"IYY","Gutherz & Blackman 1970","CYCLOPSETTIDAE","11441","31","","","Anglefin whiff","","","","CARANGIFORMES (PLEURONECTOIDEI)","Citharichthys gymnorhinus","31155209101004000","155209101004","t"
"IYO","(Girard 1854)","CYCLOPSETTIDAE","11442","31","","","Pacific sanddab","Lenguado moteado","Cardine de Californie","","CARANGIFORMES (PLEURONECTOIDEI)","Citharichthys sordidus","31155209101006000","155209101006","t"
"IYP","Günther 1862","CYCLOPSETTIDAE","11443","31","","","Bay whiff","","Rombou de plage","","CARANGIFORMES (PLEURONECTOIDEI)","Citharichthys spilopterus","31155209101007000","155209101007","t"
"IYT","(Steindachner 1894)","CYCLOPSETTIDAE","11444","31","","","Smooth flounder","","","","CARANGIFORMES (PLEURONECTOIDEI)","Citharichthys stampflii","31155209101008000","155209101008","t"
"IYM","Jordan & Gilbert 1882","CYCLOPSETTIDAE","11445","31","","","Speckled sanddab","","","","CARANGIFORMES (PLEURONECTOIDEI)","Citharichthys stigmaeus","31155209101009000","155209101009","t"
"CDG","Boulenger 1902","CITHARINIDAE","11446","13","","","","","","","CHARACIFORMES","Citharidium ansorgii","13140301101001000","140301101001","t"
"CND","(Pellegrin 1919)","CITHARINIDAE","11447","13","","","","","","","CHARACIFORMES","Citharinops distichodoides","13140301101401000","140301101401","t"
"CNC","(Geoffroy St. Hilaire 1809)","CITHARINIDAE","11448","13","","","","","","","CHARACIFORMES","Citharinus citharus","13140301101801000","140301101801","t"
