"Identifier","SWS_Identifier","Scientific_Name","Taxonomic_Code"
"57144","7144","ESOCIDAE","1423011"
"57145","7145","GONOSTOMATIDAE","1451010"
"57146","7146","STERNOPTYCHIDAE","1451020"
"57147","7147","NOTOPTERIDAE","1178041"
"57148","7148","OSTEOGLOSSIDAE","1178021"
"57149","7149","MYCTOPHIDAE","1461080"
"57150","7150","CHARACIDAE","1403241"
"57151","7151","CATOSTOMIDAE","1400021"
"57152","7152","CYPRINIDAE","1400141"
"57153","7153","COBITIDAE","1400051"
"57154","7154","MOCHOKIDAE","1410371"
"57155","7155","ARIIDAE","1410291"
"57156","7156","PLOTOSIDAE","1410101"
"57157","7157","SILURIDAE","1410181"
"57158","7158","BAGRIDAE","1410131"
"57159","7159","ICTALURIDAE","1410331"
"57160","7160","SCHILBEIDAE","1410401"
"57161","7161","CLARIIDAE","1410271"
"57162","7162","ANGUILLIDAE","1200051"
"57163","7163","MURAENIDAE","1200151"
"57164","7164","MURAENESOCIDAE","1200191"
"57165","7165","CONGRIDAE","1200211"
"57166","7166","BELONIDAE","1568021"
"57167","7167","SCOMBERESOCIDAE","1568011"
"57168","7168","EXOCOETIDAE","1568051"
"57169","7169","MURAENOLEPIDIDAE","1480091"
"57170","7170","MORIDAE","1480121"
"57171","7171","BREGMACEROTIDAE","1480016"
"57172","7172","GADIDAE","1480051"
"57173","7173","MERLUCCIIDAE","1480071"
"57174","7174","HALOSAURIDAE","1195010"
"57175","7175","GONORYNCHIDAE","1220021"
"57176","7176","RETROPINNIDAE","1435006"
"57177","7177","GIGANTURIDAE","1455081"
"57178","7178","AULOPIDAE","1455011"
"57179","7179","SYNODONTIDAE","1455091"
"57180","7180","MELANONIDAE","1480101"
"57181","7181","MACROURIDAE","1480171"
"57182","7182","GASTEROSTEIDAE","1745411"
"57184","7184","BERYCIDAE","1495021"
"57185","7185","TRACHICHTHYIDAE","1491041"
"57186","7186","ZEIDAE","1475006"
"57187","7187","CAPROIDAE","1820291"
"57188","7188","OREOSOMATIDAE","1475021"
"57189","7189","MUGILIDAE","1650011"
"57190","7190","ATHERINIDAE","1565011"
"57191","7191","ANARHICHADIDAE","1755441"
"57192","7192","ZOARCIDAE","1755431"
"57193","7193","ACANTHURIDAE","1820201"
"57194","7194","EPHIPPIDAE","1820051"
"57195","7195","SCATOPHAGIDAE","1820261"
"57196","7196","SCOMBRIDAE","1525111"
"57197","7197","ISTIOPHORIDAE","1555271"
"57198","7198","XIPHIIDAE","1555261"
"57199","7199","GEMPYLIDAE","1525151"
"57200","7200","TRICHIURIDAE","1525161"
"57201","7201","STROMATEIDAE","1523061"
"57202","7202","ARIOMMATIDAE","1523051"
"57203","7203","ANABANTIDAE","1541011"
"57204","7204","CENTROLOPHIDAE","1523021"
"57205","7205","OSPHRONEMIDAE","1541031"
"57207","7207","HELOSTOMATIDAE","1541021"
"57208","7208","AMARSIPIDAE","1523011"
"57209","7209","ELEOTRIDAE","1501061"
"57210","7210","GOBIIDAE","1501091"
"57211","7211","SCORPAENIDAE","1725251"
"57212","7212","TRIGLIDAE","1725201"
"57213","7213","HEXAGRAMMIDAE","1735311"
"57214","7214","ANOPLOPOMATIDAE","1735291"
"57215","7215","PLATYCEPHALIDAE","1725181"
"57216","7216","COTTIDAE","1735341"
"57217","7217","NORMANICHTHYIDAE","1725281"
"57218","7218","CYCLOPTERIDAE","1735381"
"57219","7219","BOTHIDAE","1552101"
"57220","7220","PLEURONECTIDAE","1552121"
"57221","7221","SOLEIDAE","1552201"
"57222","7222","CYNOGLOSSIDAE","1552211"
"57223","7223","SCOPHTHALMIDAE","1552081"
"57224","7224","CITHARIDAE","1552071"
"57225","7225","PSETTODIDAE","1552061"
"57226","7226","BALISTIDAE","1900101"
"57227","7227","TETRAODONTIDAE","1900061"
"57228","7228","BATRACHOIDIDAE","1499010"
"57229","7229","LOPHIIDAE","1850011"
"57230","7230","BATHYLAGIDAE","1416041"
"57231","7231","CHAMPSODONTIDAE","1800161"
